Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,Assistant Chief Executive,Contract Printing (External),D3303,22/11/2016,1032935 - 0,4485,Revenue,20019080,MORTONS MEDIA GROUP LTD
OCC,Assistant Chief Executive,Consultants Fees,D3411,29/11/2016,1032959 - 0,11005,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,Postage & Carriage,D3501,29/11/2016,1033075 - 0,3653.59,Revenue,20018480,THE NATIONAL LEAFLET COMPANY
OCC,Assistant Chief Executive,Grants,D3701,06/12/2016,1033143 - 0,5000,Revenue,20018674,WORKERS EDUCATIONAL ASSOCIATION
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,06/12/2016,1033516 - 0,905.6,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,Consultants Fees,D3411,28/12/2016,1033779 - 0,12425,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,28/12/2016,1033874 - 0,750,Revenue,20003025,PETE RUSSELL
OCC,Assistant Chief Executive,Main Contractor,Y021,18/10/2016,46291412 - 16,2070,Capital,20000200,CHAMPION EMPLOYMENT LTD
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,18/10/2016,46291412 - 20,705.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Assistant Chief Executive,Main Contractor,Y021,22/11/2016,46291744 - 10,460,Capital,20000200,CHAMPION EMPLOYMENT LTD
OCC,Assistant Chief Executive,Main Contractor,Y021,22/11/2016,46291777 - 10,1874.56,Capital,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,22/11/2016,46291777 - 13,689.34,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,Main Contractor,Y021,20/12/2016,46291992 - 15,2108.24,Capital,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,04/10/2016,48021769 - 1,3000,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,15/11/2016,48021784 - 1,3000,Capital,20010151,O2 (UK) LIMITED
OCC,Transformation,Reactive Maintenance & Minor Repairs,B1101,11/10/2016,1031719 - 0,5662,Revenue,20008259,EVAC+CHAIR  INTERNATIONAL LTD
OCC,Transformation,Furniture & Equipment Purchase,D3001,11/10/2016,1031760 - 0,2171.14,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Services Maintenance (Planned),B1103,18/10/2016,1031836 - 0,1180,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Furniture & Equipment Purchase,D3001,18/10/2016,1031867 - 0,1929.72,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Furniture Removals,D3425,15/11/2016,1032044 - 1,2236.5,Revenue,20019270,Clockwork Removals Limited
OCC,Transformation,Special Events,D3807,01/11/2016,1032340 - 0,4898.6,Revenue,20017894,OTHC LEMON ZEST
OCC,Transformation,Reactive Maintenance & Minor Repairs,B1101,25/10/2016,1032507 - 0,2227.1,Revenue,20016584,INTERSERVE CONSTRUCTION LTD (PARAGON DIVISION)
OCC,Transformation,Services Maintenance (Planned),B1103,15/11/2016,1032534 - 0,5738,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Reactive Maintenance & Minor Repairs,B1101,15/11/2016,1032535 - 0,1077.8,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Furniture & Equipment Purchase,D3001,15/11/2016,1032536 - 0,529.22,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Equipment Hire Charges,D3006,01/11/2016,1032629 - 0,1160,Revenue,20003374,CITY AUDIO VISUAL
OCC,Transformation,Consultants Fees,D3411,08/11/2016,1032732 - 1,9809.08,Revenue,20003374,CITY AUDIO VISUAL
OCC,Transformation,Services Maintenance (Planned),B1103,06/12/2016,1033064 - 0,2277.66,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Reactive Maintenance & Minor Repairs,B1101,06/12/2016,1033065 - 0,2298.4,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Reactive Maintenance & Minor Repairs,B1101,20/12/2016,1033400 - 0,3233.97,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Furniture Removals,D3425,13/12/2016,1033547 - 0,2299.5,Revenue,20019270,Clockwork Removals Limited
OCC,Transformation,Services Maintenance (Planned),B1103,06/12/2016,1033548 - 0,900,Revenue,20019270,Clockwork Removals Limited
OCC,Transformation,Furniture & Equipment Purchase,D3001,13/12/2016,1033621 - 0,1954.52,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Temporary Bureau Staffing,A0108,18/10/2016,46291412 - 9,3180.66,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Transformation,Temporary Bureau Staffing,A0108,22/11/2016,46291744 - 6,2839.53,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Transformation,Temporary Bureau Staffing,A0108,20/12/2016,46292022 - 6,2218.92,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Transformation,Reactive Maintenance & Minor Repairs,B1101,25/10/2016,60062957 - 1,735,Revenue,20002254,GRAFTON MERCHANTING GB LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,20/12/2016,1028858 - 1,8613.93,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
OCC,Business Improvement,Security Services,D3418,29/11/2016,1029903 - 1,881.25,Revenue,20009730,R & R FRONTLINE SERVICES LTD
OCC,Business Improvement,Compliance Training (H&S),A0630,08/11/2016,1031112 - 0,685,Revenue,20018546,JAAMA LTD
OCC,Business Improvement,Consultants Fees,D3411,04/10/2016,1031575 - 0,4340,Revenue,20009010,DOCUMENT OUTPUT SOLUTIONS LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,04/10/2016,1031579 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,11/10/2016,1031653 - 0,2000,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Business Improvement,Contract Printing (External),D3303,04/10/2016,1031657 - 0,1678,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Compliance Training (H&S),A0630,11/10/2016,1031725 - 0,914.6,Revenue,20018977,FAIERS TRAINING LIMITED
OCC,Business Improvement,External Telephone Charges,D3503,11/10/2016,1031731 - 1,1774.39,Revenue,20016411,"""JOHNNIE"" JOHNSON HOUSING TRUST"
OCC,Business Improvement,General Contracted Services,D3401,11/10/2016,1031761 - 0,870.5,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Business Improvement,Postage & Carriage,D3501,11/10/2016,1031761 - 1,45.6,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,11/10/2016,1031781 - 0,1800,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Furniture & Equipment Purchase,D3001,11/10/2016,1031842 - 0,519.6,Revenue,20002998,JBL
OCC,Business Improvement,Temporary Bureau Staffing,A0108,11/10/2016,1031850 - 0,460.85,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Business Improvement,Consultants Fees,D3411,18/10/2016,1031888 - 0,1000,Revenue,20009001,BOTTOMLINE TECHNOLOGIES LTD
OCC,Business Improvement,External Telephone Charges,D3503,11/10/2016,1031890 - 1,36983.21,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,Temporary Bureau Staffing,A0108,18/10/2016,1031935 - 1,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Compliance Training (H&S),A0630,11/10/2016,1031968 - 0,1750,Revenue,20011419,EXOVA  (UK) LTD
OCC,Business Improvement,General Contracted Services,D3401,04/10/2016,1031979 - 0,2640,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,25/10/2016,1031990 - 1,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,25/10/2016,1031991 - 1,1000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Hospitality,D3803,25/10/2016,1031996 - 0,1868.2,Revenue,20009224,LAMB CATERING LTD
OCC,Business Improvement,General Contracted Services,D3401,06/12/2016,1032041 - 0,5290,Revenue,20017483,THE KNOWLEDGE ACADEMY LTD.
OCC,Business Improvement,Consultants Fees,D3411,25/10/2016,1032082 - 0,4628,Revenue,20019348,NETTITUDE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,07/10/2016,1032107 - 0,3125,Revenue,20018517,TMI SYSTEMS LIMITED
OCC,Business Improvement,Consultants Fees,D3411,25/10/2016,1032110 - 0,5012.5,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
OCC,Business Improvement,Hardware Purchase,D3520,11/10/2016,1032131 - 0,652,Revenue,20003547,PITNEY BOWES LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,11/10/2016,1032145 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,General Contracted Services,D3401,25/10/2016,1032179 - 0,4529.17,Revenue,20016844,NG BAILEY IT SERVICES LTD
OCC,Business Improvement,Software Purchase,D3511,25/10/2016,1032182 - 0,20000,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
OCC,Business Improvement,Temporary Bureau Staffing,A0108,11/10/2016,1032195 - 1,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,25/10/2016,1032206 - 0,500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,25/10/2016,1032207 - 1,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,11/10/2016,1032217 - 0,555,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,11/10/2016,1032220 - 0,417.13,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,28/10/2016,1032226 - 0,4337.51,Revenue,20007877,COMPUTACENTER (UK) LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,11/10/2016,1032253 - 0,1500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,18/10/2016,1032254 - 1,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,11/10/2016,1032256 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,25/10/2016,1032296 - 0,1050,Revenue,20018171,SIRIUS CORPORATION LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,25/10/2016,1032297 - 0,2500,Revenue,20018171,SIRIUS CORPORATION LTD
OCC,Business Improvement,Compliance Training (H&S),A0630,01/11/2016,1032301 - 0,764.6,Revenue,20018977,FAIERS TRAINING LIMITED
OCC,Business Improvement,General Stationery Supplies,D3301,25/10/2016,1032330 - 0,1932.46,Revenue,20007849,LYRECO UK LTD
OCC,Business Improvement,Hardware Purchase,D3520,18/10/2016,1032336 - 0,3180,Revenue,20019338,BENTHAM LTD T/A MORGAN COMPUTERS
OCC,Business Improvement,Postage & Carriage,D3501,18/10/2016,1032336 - 1,50,Revenue,20019338,BENTHAM LTD T/A MORGAN COMPUTERS
OCC,Business Improvement,Hardware Purchase,D3520,18/10/2016,1032337 - 0,5970,Revenue,20019338,BENTHAM LTD T/A MORGAN COMPUTERS
OCC,Business Improvement,Travel Scheme Discount,C2505,18/10/2016,1032343 - 1,2047.55,Revenue,20006596,OXFORD BUS COMPANY LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,25/10/2016,1032355 - 0,955.5,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,General Contracted Services,D3401,18/10/2016,1032374 - 0,981.91,Revenue,20015540,TWOFOLD LTD
OCC,Business Improvement,Management Development,A0637,25/10/2016,1032388 - 0,7000,Revenue,20017304,Q.LEARNING LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,08/11/2016,1032401 - 1,1000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Contract Printing (External),D3303,08/11/2016,1032440 - 0,3346,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Temporary Bureau Staffing,A0108,08/11/2016,1032465 - 0,800,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Compliance Training (H&S),A0630,08/11/2016,1032466 - 0,689.6,Revenue,20018977,FAIERS TRAINING LIMITED
OCC,Business Improvement,Consultants Fees,D3411,25/10/2016,1032482 - 0,950,Revenue,20013463,IDOX SOFTWARE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,25/10/2016,1032488 - 0,17540.48,Revenue,20018546,JAAMA LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,15/11/2016,1032491 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,External Telephone Charges,D3503,01/11/2016,1032493 - 1,2499.8,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,External Telephone Charges,D3503,01/11/2016,1032494 - 1,11768.5,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,General Contracted Services,D3401,22/11/2016,1032538 - 0,529,Revenue,20017483,THE KNOWLEDGE ACADEMY LTD.
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,15/11/2016,1032564 - 0,999.06,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,15/11/2016,1032570 - 0,2200,Revenue,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,General Contracted Services,D3401,15/11/2016,1032572 - 1,14100,Revenue,20019027,ALEMBA LIMITED
OCC,Business Improvement,Hardware Purchase,D3520,15/11/2016,1032587 - 0,680,Revenue,20002302,MISCO
OCC,Business Improvement,Postage & Carriage,D3501,15/11/2016,1032587 - 1,9.99,Revenue,20002302,MISCO
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,15/11/2016,1032589 - 0,422.05,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,15/11/2016,1032591 - 0,5038.95,Revenue,20009010,DOCUMENT OUTPUT SOLUTIONS LTD
OCC,Business Improvement,General Contracted Services,D3401,15/11/2016,1032593 - 0,762.6,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Business Improvement,Postage & Carriage,D3501,15/11/2016,1032593 - 1,48,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Business Improvement,Hardware Purchase,D3520,15/11/2016,1032634 - 0,8250,Revenue,20002302,MISCO
OCC,Business Improvement,Furniture & Equipment Purchase,D3001,01/11/2016,1032656 - 0,570.7,Revenue,20009620,POSTURITE LTD
OCC,Business Improvement,Consultants Fees,D3411,15/11/2016,1032730 - 0,1500,Revenue,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Hardware Purchase,D3520,08/11/2016,1032747 - 0,3607.4,Revenue,20003547,PITNEY BOWES LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,22/11/2016,1032750 - 0,60774.57,Revenue,20013463,IDOX SOFTWARE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,08/11/2016,1032752 - 0,900,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,08/11/2016,1032753 - 0,5500,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,08/11/2016,1032754 - 0,500,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,08/11/2016,1032755 - 0,8715.22,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,15/11/2016,1032764 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,22/11/2016,1032765 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,22/11/2016,1032767 - 0,1500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,22/11/2016,1032768 - 0,1500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Consultants Fees,D3411,29/11/2016,1032783 - 0,5012.5,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
OCC,Business Improvement,General Contracted Services,D3401,08/11/2016,1032810 - 0,967.5,Revenue,20011523,HERALD CHASE
OCC,Business Improvement,General Contracted Services,D3401,29/11/2016,1032827 - 0,5290,Revenue,20017483,THE KNOWLEDGE ACADEMY LTD.
OCC,Business Improvement,Conferences,D3602,15/11/2016,1032840 - 0,629.33,Revenue,20009746,OXFORD SPIRES FOUR PILLARS HOTEL
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,08/11/2016,1032862 - 0,1013.9,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
OCC,Business Improvement,Management Development,A0637,15/11/2016,1032910 - 0,13650,Revenue,20017304,Q.LEARNING LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,29/11/2016,1032939 - 1,1000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,29/11/2016,1032977 - 0,2700,Revenue,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,02/12/2016,1033010 - 0,481.34,Revenue,20007877,COMPUTACENTER (UK) LTD
OCC,Business Improvement,General Stationery Supplies,D3301,29/11/2016,1033014 - 0,2044.1,Revenue,20007849,LYRECO UK LTD
OCC,Business Improvement,Consultants Fees,D3411,15/11/2016,1033022 - 1,4671.8,Revenue,20017939,CENTRE FOR ASSESMENT
OCC,Business Improvement,Conferences/Seminars,A0636,15/11/2016,1033030 - 0,555,Revenue,20003374,CITY AUDIO VISUAL
OCC,Business Improvement,Hardware Rental,D3521,15/11/2016,1033071 - 0,3569.1,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
OCC,Business Improvement,Hardware Rental,D3521,15/11/2016,1033072 - 0,1159.53,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
OCC,Business Improvement,CPD (Continuous Professional Development),A0634,29/11/2016,1033077 - 0,2875,Revenue,20018486,GRANT THORNTON UK LLP
OCC,Business Improvement,Temporary Bureau Staffing,A0108,15/11/2016,1033100 - 0,452.48,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,15/11/2016,1033101 - 0,547.93,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Business Improvement,Consultants Fees,D3411,22/11/2016,1033113 - 0,691.06,Revenue,20016779,FLU XPRESS LTD
OCC,Business Improvement,Hardware Purchase,D3520,06/12/2016,1033121 - 0,6702.5,Revenue,20019338,BENTHAM LTD T/A MORGAN COMPUTERS
OCC,Business Improvement,Contract Printing (External),D3303,09/12/2016,1033163 - 0,9098,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,General Stationery Supplies,D3301,06/12/2016,1033168 - 0,437.3,Revenue,20019380,BARRETTS INDUSTRIES LTD T/A ENVOSORT
OCC,Business Improvement,Consultants Fees,D3411,13/12/2016,1033224 - 0,875,Revenue,20011589,CAPITA BUSINESS SERVICES LTD
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033226 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033227 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033228 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033229 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033230 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033231 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033232 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033233 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,22/11/2016,1033234 - 1,784,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,Temporary Bureau Staffing,A0108,29/11/2016,1033267 - 0,4725,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,General Contracted Services,D3401,29/11/2016,1033268 - 0,45601.63,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Temporary Bureau Staffing,A0108,29/11/2016,1033269 - 0,9100,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,General Stationery Supplies,D3301,29/11/2016,1033287 - 0,465.37,Revenue,20003547,PITNEY BOWES LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,09/12/2016,1033290 - 0,7610.13,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,25/11/2016,1033291 - 0,720,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,13/12/2016,1033293 - 0,4259.74,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,External Telephone Charges,D3503,06/12/2016,1033294 - 0,4705.99,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,Temporary Bureau Staffing,A0108,20/12/2016,1033310 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Hospitality,D3803,06/12/2016,1033311 - 0,484.5,Revenue,20017971,A & J CATERING (OXFORDSHIRE) LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,20/12/2016,1033344 - 1,3000,Revenue,20006509,SOCITM LIMITED
