Body Name,Organisational Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Capital or Revenue,Supplier ID,Supplier Name
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/09/2015,46287039_1,500.00,Revenue,20000010_46287039,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/09/2015,46287040_1,766.59,Revenue,20000010_46287040,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/09/2015,46287041_1,600.00,Revenue,20000010_46287041,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/09/2015,46287068_1,791.04,Revenue,20000010_46287068,Feenan & Stewart
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/09/2015,46287068_2,356.04,Revenue,20000010_46287068,Feenan & Stewart
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/09/2015,46287079_1,1850.00,Revenue,20000010_46287079,Penny& Sinclair
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/09/2015,46287079_2,1850.00,Revenue,20000010_46287079,Penny& Sinclair
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/09/2015,46287081_1,1000.00,Revenue,20000010_46287081,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent,B1701,15/09/2015,46287103_1,725.00,Revenue,20000010_46287103,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/09/2015,46287104_1,1091.04,Revenue,20000010_46287104,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/09/2015,46287109_1,636.44,Revenue,20000010_46287109,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/09/2015,46287110_1,636.44,Revenue,20000010_46287110,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/09/2015,46287189_1,546.00,Revenue,20000010_46287189,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/09/2015,46287190_1,546.00,Revenue,20000010_46287190,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/09/2015,46287239_1,869.52,Revenue,20000010_46287239,Chalk Hill Lettings
Oxford City Council,HRA,Compensation,D3805,29/09/2015,46287245_1,500.00,Revenue,20000010_46287245,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/09/2015,46287257_1,2200.00,Revenue,20000010_46287257,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/09/2015,46287273_1,925.00,Revenue,20000010_46287273,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/09/2015,46287274_1,1000.00,Revenue,20000010_46287274,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/09/2015,46287282_1,1800.00,Revenue,20000010_46287282,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/09/2015,46287283_1,1140.00,Revenue,20000010_46287283,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/09/2015,46287284_1,867.07,Revenue,20000010_46287284,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,28/07/2015,46286622_1,565.00,Revenue,20000018_46286622,Home Experts Worcester
Oxford City Council,Housing and Property,Homeless Prevention,D3426,28/07/2015,46286639_1,555.00,Revenue,20000018_46286639,Home Experts Worcester
Oxford City Council,Housing and Property,Homeless Prevention,D3426,25/08/2015,46286968_1,478.00,Revenue,20000018_46286968,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,25/08/2015,46286968_2,102.00,Revenue,20000018_46286968,"Redacted, personal data"
Oxford City Council,Community Services,Instructors & Coaching Fees,D3413,07/07/2015,46286441_1,4185.00,Revenue,20000019_46286441,British Judo Association
Oxford City Council,Community Services,Contributions,D3702,14/07/2015,46286508_1,125.00,Revenue,20000019_46286508,Quarry Rovers
Oxford City Council,Community Services,Contributions,D3702,14/07/2015,46286508_2,125.00,Revenue,20000019_46286508,Quarry Rovers
Oxford City Council,Community Services,Contributions,D3702,14/07/2015,46286508_3,125.00,Revenue,20000019_46286508,Quarry Rovers
Oxford City Council,Community Services,Contributions,D3702,14/07/2015,46286508_4,125.00,Revenue,20000019_46286508,Quarry Rovers
Oxford City Council,Community Services,Contributions,D3702,28/07/2015,46286630_1,500.00,Revenue,20000019_46286630,St Andrews Parochial Church Council
Oxford City Council,Community Services,Contributions,D3702,04/08/2015,46286673_1,500.00,Revenue,20000019_46286673,St Andrews Parochial Church Council
Oxford City Council,Community Services,Grants,D3701,18/08/2015,46286861_1,1000.00,Revenue,20000019_46286861,PHOENIX PERFORMING ARTS TRUST
Oxford City Council,Community Services,Instructors & Coaching Fees,D3413,25/08/2015,46286986_1,2763.00,Revenue,20000019_46286986,THE EYOT CENTRE
Oxford City Council,Direct Services,Furniture & Equipment Purchase,D3001,02/09/2015,46286990_1,1000.00,Revenue,20000019_46286990,Hinksey Park FC
Oxford City Council,Community Services,Grants,D3701,15/09/2015,46287070_1,1000.00,Revenue,20000019_46287070,CARU/Contemporary Arts Research Unit
Oxford City Council,Direct Services,Grants,D3701,29/09/2015,46287242_1,720.00,Revenue,20000019_46287242,East Ward Allotment Association
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,15/09/2015,48021290_1,15000.00,Capital,20000019_48021290,"Redacted, personal data"
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_1,5608.29,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_10,5525.80,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,14/07/2015,46286490_11,5697.95,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_12,1582.32,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,14/07/2015,46286490_13,2114.30,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_14,1965.68,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_15,1365.99,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,14/07/2015,46286490_16,1049.19,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,14/07/2015,46286490_17,3348.03,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,14/07/2015,46286490_18,2903.79,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,14/07/2015,46286490_19,13801.11,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_2,3265.98,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,14/07/2015,46286490_20,7615.49,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,14/07/2015,46286490_21,447.60,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,14/07/2015,46286490_22,4608.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,14/07/2015,46286490_23,7307.66,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_24,1971.85,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,14/07/2015,46286490_25,6341.01,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_26,3200.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,14/07/2015,46286490_27,1409.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,14/07/2015,46286490_28,1200.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,14/07/2015,46286490_29,2860.00,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,14/07/2015,46286490_3,4058.16,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,14/07/2015,46286490_30,6156.87,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_31,2442.82,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,14/07/2015,46286490_32,1540.68,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_33,880.38,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_34,6732.11,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_35,5746.96,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_36,17487.36,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_37,3771.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_38,5768.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_39,4284.83,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,14/07/2015,46286490_4,3248.59,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_40,5511.58,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_41,5811.17,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_42,3760.93,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_43,1955.96,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,14/07/2015,46286490_44,65.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,14/07/2015,46286490_45,2.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,14/07/2015,46286490_5,6127.95,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,14/07/2015,46286490_6,1049.90,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,14/07/2015,46286490_7,2834.30,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,14/07/2015,46286490_8,3078.73,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,14/07/2015,46286490_9,2119.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_1,771.12,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_10,2933.86,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_11,11051.60,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,25/08/2015,46286918_12,2790.38,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_13,2331.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,25/08/2015,46286918_14,1804.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_15,2360.70,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_16,1931.49,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,25/08/2015,46286918_17,2651.08,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,25/08/2015,46286918_18,5464.62,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,25/08/2015,46286918_19,477.94,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_2,2706.40,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,25/08/2015,46286918_20,1587.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_21,941.33,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,25/08/2015,46286918_22,8408.86,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,25/08/2015,46286918_23,9617.76,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,25/08/2015,46286918_24,5472.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,25/08/2015,46286918_25,5211.83,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_26,1930.39,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,25/08/2015,46286918_27,13657.56,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_28,684.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_29,10240.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_3,5371.97,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,25/08/2015,46286918_30,3009.72,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,25/08/2015,46286918_31,9540.00,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,25/08/2015,46286918_32,7328.48,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_33,4836.74,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_34,4806.13,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_35,2973.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,25/08/2015,46286918_36,2054.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_37,1010.16,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_38,8514.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_39,845.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,25/08/2015,46286918_4,6763.60,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_40,740.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_41,4853.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_42,23589.41,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_43,4713.80,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_44,4839.16,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_45,2744.44,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_46,8726.31,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_47,9721.39,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_48,2389.19,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_49,1988.75,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,25/08/2015,46286918_5,4107.96,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_50,436.73,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,25/08/2015,46286918_51,2735.39,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,25/08/2015,46286918_52,55.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,25/08/2015,46286918_6,2359.72,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,25/08/2015,46286918_7,2781.43,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,25/08/2015,46286918_8,3543.12,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,25/08/2015,46286918_9,3866.44,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,22/09/2015,46287230_1,1854.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,22/09/2015,46287230_10,142.69,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,22/09/2015,46287230_11,6743.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,22/09/2015,46287230_12,1815.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,22/09/2015,46287230_13,1457.40,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,22/09/2015,46287230_14,1823.18,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/09/2015,46287230_15,1421.59,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,22/09/2015,46287230_16,1062.16,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,22/09/2015,46287230_17,2302.40,Revenue,20000200,CHAMPION EMPLOYMENT LTD
