Organisation,Service Area,Expenditure Unit,Expenditure Code,Paid Date,Trans No,Amount,caporrev,Supplier ID,Supplier Name
Oxford City Council,Customer Services,Grants,D3701,24/02/2015,46284838_1,5000.00,Revenue,20000000_46284838,Redacted personal data
Oxford City Council,Customer Services,Grants,D3701,24/02/2015,46284839_1,4985.00,Revenue,20000000_46284839,WEST OXFORD BOWLS CLUB
Oxford City Council,Customer Services,Grants,D3701,24/02/2015,46284855_1,1284.98,Revenue,20000000_46284855,Redacted personal data
Oxford City Council,Customer Services,Grants,D3701,10/03/2015,46284950_1,897.60,Revenue,20000000_46284950,Redacted personal data
Oxford City Council,Policy  Culture and Communication,Pitch & Site Rents,K9534,10/03/2015,46284965_1,1500.00,Revenue,20000000_46284965,Circus Starr
Oxford City Council,Customer Services,Grants,D3701,17/03/2015,46285053_1,5000.00,Revenue,20000000_46285053,Redacted personal data
Oxford City Council,Environmental Development,General Contracted Services,D3401,24/03/2015,46285154_1,2270.26,Revenue,20000000_46285154,Redacted personal data
Oxford City Council,Suspense,Creditors - BACS,J8810,24/03/2015,46285159_1,662.16,Revenue,20000000_46285159,Redacted personal data
Oxford City Council,Suspense,Creditors - BACS,J8810,24/03/2015,46285159_2,598.08,Revenue,20000000_46285159,Redacted personal data
Oxford City Council,Suspense,Creditors - BACS,J8810,24/03/2015,46285159_3,2631.63,Revenue,20000000_46285159,Redacted personal data
Oxford City Council,Direct Services,Other Licences And Fees,C2203,24/03/2015,46285168_1,20000.00,Revenue,20000000_46285168,VOSA
Oxford City Council,Customer Services,Grants,D3701,24/03/2015,46285180_1,1972.80,Revenue,20000000_46285180,SOUTH OXFORD BOWLS CLUB
Oxford City Council,Policy  Culture and Communication,Grants,D3701,20/03/2015,46285182_1,906.00,Revenue,20000000_46285182,AMY HAILWOOD
Oxford City Council,Environmental Development,Court Fees,D3416,24/03/2015,46285185_1,588.00,Revenue,20000000_46285185,Redacted personal data
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,20/03/2015,46285194_1,945.00,Revenue,20000000_46285194,HEADINGTON & DISTRICT ALLOTMENT
Oxford City Council,Customer Services,Grants,D3701,31/03/2015,46285312_1,5000.00,Revenue,20000000_46285312,Redacted personal data
Oxford City Council,Environmental Development,General Contracted Services,D3401,27/03/2015,46285313_1,514.07,Revenue,20000000_46285313,KIDLINGTON PARISH COUNCIL
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285324_1,840.00,Revenue,20000000_46285324,OXFORD COMMUNITY MARKETS
Oxford City Council,HRA,Compensation,D3805,31/03/2015,46285331_1,1588.98,Revenue,20000000_46285331,CARPET RIGHT
Oxford City Council,HRA,Furniture Removals,D3425,13/01/2015,46284377_1,570.00,Revenue,20000010_46284377,Redacted personal data
Oxford City Council,HRA,Furniture Removals,D3425,13/01/2015,46284378_1,690.00,Revenue,20000010_46284378,Redacted personal data
Oxford City Council,HRA,Furniture Removals,D3425,13/01/2015,46284379_1,770.00,Revenue,20000010_46284379,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/01/2015,46284380_1,1700.00,Revenue,20000010_46284380,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,13/01/2015,46284384_1,967.56,Revenue,20000010_46284384,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,13/01/2015,46284385_1,2858.99,Revenue,20000010_46284385,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/01/2015,46284396_1,1850.00,Revenue,20000010_46284396,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/01/2015,46284408_1,1722.00,Revenue,20000010_46284408,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,20/01/2015,46284488_1,3095.20,Revenue,20000010_46284488,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284536_1,875.00,Revenue,20000010_46284536,Redacted personal data
Oxford City Council,Holding Accounts & Other Funds,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284538_1,2244.00,Revenue,20000010_46284538,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284540_1,700.00,Revenue,20000010_46284540,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284548_1,1425.00,Revenue,20000010_46284548,HOLIFIELD HOUSE LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284559_1,1400.00,Revenue,20000010_46284559,SPRATT ENDICOTT LTD CLIENT ACCOUNT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284578_1,1275.00,Revenue,20000010_46284578,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,27/01/2015,46284583_1,2974.94,Revenue,20000010_46284583,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284593_1,890.40,Revenue,20000010_46284593,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284594_1,988.68,Revenue,20000010_46284594,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/01/2015,46284595_1,825.00,Revenue,20000010_46284595,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/02/2015,46284609_1,1375.00,Revenue,20000010_46284609,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/02/2015,46284617_1,1900.00,Revenue,20000010_46284617,LEE & LINDARS (OXFORD) LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/02/2015,46284617_2,90.00,Revenue,20000010_46284617,LEE & LINDARS (OXFORD) LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/02/2015,46284618_1,1275.00,Revenue,20000010_46284618,GREEN & CO
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/02/2015,46284619_1,850.00,Revenue,20000010_46284619,GREEN & CO
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/02/2015,46284621_1,975.00,Revenue,20000010_46284621,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/02/2015,46284629_1,900.00,Revenue,20000010_46284629,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/02/2015,46284688_1,900.00,Revenue,20000010_46284688,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/02/2015,46284688_2,1800.00,Revenue,20000010_46284688,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/02/2015,46284689_1,1377.00,Revenue,20000010_46284689,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284734_1,950.00,Revenue,20000010_46284734,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284734_2,1900.00,Revenue,20000010_46284734,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284734_3,900.00,Revenue,20000010_46284734,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284750_1,1819.00,Revenue,20000010_46284750,PREMIER RESIDENTIAL LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284750_2,98.00,Revenue,20000010_46284750,PREMIER RESIDENTIAL LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284750_3,985.00,Revenue,20000010_46284750,PREMIER RESIDENTIAL LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284751_1,1500.00,Revenue,20000010_46284751,THOMAS MERRIFIELD LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/02/2015,46284752_1,850.00,Revenue,20000010_46284752,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,17/02/2015,46284755_1,1848.32,Revenue,20000010_46284755,Redacted personal data
Oxford City Council,HRA,Furniture Removals,D3425,17/02/2015,46284783_1,780.00,Revenue,20000010_46284783,Bellview Transport
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284834_1,1100.00,Revenue,20000010_46284834,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284834_2,1000.00,Revenue,20000010_46284834,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284834_3,627.00,Revenue,20000010_46284834,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284834_4,775.00,Revenue,20000010_46284834,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284837_1,925.00,Revenue,20000010_46284837,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284837_2,650.00,Revenue,20000010_46284837,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284837_3,600.00,Revenue,20000010_46284837,Redacted personal data
Oxford City Council,HRA,Furniture Removals,D3425,24/02/2015,46284843_1,540.00,Revenue,20000010_46284843,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284863_1,1875.00,Revenue,20000010_46284863,Abbey Rentals
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/02/2015,46284863_2,1039.28,Revenue,20000010_46284863,Abbey Rentals
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/03/2015,46284906_1,600.00,Revenue,20000010_46284906,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/03/2015,46284908_1,1344.20,Revenue,20000010_46284908,PREMIER RESIDENTIAL LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/03/2015,46284913_1,950.00,Revenue,20000010_46284913,SPIRE PROPERTIES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/03/2015,46284913_2,441.07,Revenue,20000010_46284913,SPIRE PROPERTIES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/03/2015,46284914_1,290.40,Revenue,20000010_46284914,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/03/2015,46284914_2,900.00,Revenue,20000010_46284914,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/03/2015,46284921_1,750.00,Revenue,20000010_46284921,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/03/2015,46284941_1,1100.00,Revenue,20000010_46284941,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/03/2015,46284968_1,600.00,Revenue,20000010_46284968,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,17/03/2015,46285063_1,500.00,Revenue,20000010_46285063,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/03/2015,46285087_1,954.13,Revenue,20000010_46285087,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/03/2015,46285170_1,900.00,Revenue,20000010_46285170,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/03/2015,46285171_1,522.00,Revenue,20000010_46285171,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/03/2015,46285172_1,1100.00,Revenue,20000010_46285172,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/03/2015,46285178_1,750.00,Revenue,20000010_46285178,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,17/02/2015,46284791_1,500.00,Revenue,20000018_46284791,Redacted personal data
Oxford City Council,City Development,Grants,D3701,17/02/2015,46284743_1,500.00,Revenue,20000019_46284743,Redacted personal data
Oxford City Council,Environmental Development,Grants,D3701,17/03/2015,46284976_1,2000.00,Revenue,20000019_46284976,Oxford Against Cutting
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285291_1,500.00,Revenue,20000019_46285291,RAINBOW HOUSE
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285292_1,500.00,Revenue,20000019_46285292,RESOURCE FUTURES
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285293_1,500.00,Revenue,20000019_46285293,RESOURCE FUTURES
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285294_1,500.00,Revenue,20000019_46285294,RESOURCE FUTURES
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285295_1,500.00,Revenue,20000019_46285295,RESOURCE FUTURES
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285296_1,500.00,Revenue,20000019_46285296,RESOURCE FUTURES
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285297_1,500.00,Revenue,20000019_46285297,RESOURCE FUTURES
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285325_1,500.00,Revenue,20000019_46285325,UPCYCLED SOUNDS
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285326_1,500.00,Revenue,20000019_46285326,WOLVERCOTE WILDLIFE EXPLORERS
Oxford City Council,Regeneration and Major Projects Team,Staff Advertising,A0702,03/03/2015,1013631_1,7118.60,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Consultants Fees,D3411,24/03/2015,1014292_1,1350.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Commission/Discount,K9472,20/01/2015,46284410_1,-1181.10,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Regeneration and Major Projects Team,Temporary Bureau Staffing,A0108,20/01/2015,46284410_10,3665.14,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/01/2015,46284410_11,10409.57,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,20/01/2015,46284410_12,922.65,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,20/01/2015,46284410_13,2861.10,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_14,2032.23,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,20/01/2015,46284410_15,3713.60,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,20/01/2015,46284410_16,5861.20,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,20/01/2015,46284410_17,3987.20,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_18,1569.09,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_19,3632.37,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Holding Accounts & Other Funds,Difference A/c,Z910198,20/01/2015,46284410_2,-0.03,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_20,24591.54,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_21,1819.35,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_22,1530.69,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_23,9850.50,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_24,3871.57,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_25,9641.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_26,2850.08,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_27,1031.20,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_28,8047.31,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/01/2015,46284410_29,5670.50,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Leisure  Parks & Communities,Temporary Bureau Staffing,A0108,20/01/2015,46284410_3,2127.65,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/01/2015,46284410_30,2706.12,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/01/2015,46284410_31,1470.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/01/2015,46284410_32,1712.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_33,507.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Policy  Culture and Communication,Main Contractor,Y021,20/01/2015,46284410_34,8396.03,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_35,5473.05,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_36,2360.60,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,20/01/2015,46284410_37,1791.21,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Leisure  Parks & Communities,Temporary Bureau Staffing,A0108,20/01/2015,46284410_38,1393.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Law and Governance,Temporary Bureau Staffing,A0108,20/01/2015,46284410_39,1076.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Policy  Culture and Communication,Temporary Bureau Staffing,A0108,20/01/2015,46284410_4,2686.31,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Policy  Culture and Communication,Temporary Bureau Staffing,A0108,20/01/2015,46284410_40,5202.83,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,20/01/2015,46284410_41,1395.00,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,20/01/2015,46284410_42,3352.91,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_43,1830.70,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_44,2125.43,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_45,1761.85,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_46,3619.15,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_47,6505.92,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_48,3273.45,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_49,3370.57,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Leisure  Parks & Communities,Temporary Bureau Staffing,A0108,20/01/2015,46284410_5,2099.40,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_50,15312.19,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_51,1771.99,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_52,944.37,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_53,7307.19,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_54,7213.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/01/2015,46284410_55,2431.44,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Leisure  Parks & Communities,Temporary Bureau Staffing,A0108,20/01/2015,46284410_56,2520.60,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Policy  Culture and Communication,Temporary Bureau Staffing,A0108,20/01/2015,46284410_57,421.80,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/01/2015,46284410_58,50.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Leisure  Parks & Communities,Temporary Bureau Staffing,A0108,20/01/2015,46284410_6,1850.32,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Leisure  Parks & Communities,Temporary Bureau Staffing,A0108,20/01/2015,46284410_7,1332.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Human Resources & Facilities,Temporary Bureau Staffing,A0108,20/01/2015,46284410_8,4138.31,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Regeneration and Major Projects Team,Temporary Bureau Staffing,A0108,20/01/2015,46284410_9,4745.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Commission/Discount,K9472,24/02/2015,46284809_1,-1654.91,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Temporary Bureau Staffing,A0108,24/02/2015,46284809_10,8957.26,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,24/02/2015,46284809_11,1779.38,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,24/02/2015,46284809_12,2638.13,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,24/02/2015,46284809_13,2832.09,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,24/02/2015,46284809_14,5132.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,24/02/2015,46284809_15,9377.93,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,24/02/2015,46284809_16,2276.80,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,24/02/2015,46284809_17,2011.71,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,24/02/2015,46284809_18,1947.86,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,24/02/2015,46284809_19,3910.36,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Leisure  Parks & Communities,Temporary Bureau Staffing,A0108,24/02/2015,46284809_2,2458.09,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,24/02/2015,46284809_20,19654.03,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,24/02/2015,46284809_21,1881.55,Revenue,20000200,CHAMPION EMPLOYMENT LTD
