Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
Assistant Chief Executive,Licences (Non-Transport),D3804,17/01/2017,1034122 - 0,1658.00,Revenue,20018192,NLA MEDIA ACCESS LIMITED
Assistant Chief Executive,Grants,D3701,10/01/2017,1034272 - 1,10000.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Assistant Chief Executive,Consultants Fees,D3411,10/02/2017,1034626 - 0,12810.00,Revenue,20018173,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI
Assistant Chief Executive,Consultants Fees,D3411,07/02/2017,1034930 - 0,11360.00,Revenue,20016203,PENNA PLC
Assistant Chief Executive,Consultants Fees,D3411,21/02/2017,1034961 - 0,5490.00,Revenue,20018173,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI
Assistant Chief Executive,Main Contractor,Y021,14/02/2017,1034990 - 0,3385.00,Capital,20018311,MOTT MACDONALD LTD
Assistant Chief Executive,Consultants Fees,D3411,28/02/2017,1035055 - 0,12780.00,Revenue,20016203,PENNA PLC
Assistant Chief Executive,General Contracted Services,D3401,07/03/2017,1035256 - 0,1300.00,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
Assistant Chief Executive,Grants,D3701,14/03/2017,1035413 - 0,4955.00,Revenue,20018674,WORKERS EDUCATIONAL ASSOCIATION
Assistant Chief Executive,Advertising & Publicity,D3802,14/03/2017,1035567 - 0,1051.00,Revenue,20014471,BANBURY LITHO LIMITED
Assistant Chief Executive,Advertising & Publicity,D3802,21/03/2017,1035568 - 0,835.00,Revenue,20014471,BANBURY LITHO LIMITED
Assistant Chief Executive,Advertising & Publicity,D3802,21/03/2017,1035627 - 0,2391.12,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
Assistant Chief Executive,General Contracted Services,D3401,28/03/2017,1035743 - 0,1400.00,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
Assistant Chief Executive,General Contracted Services,D3401,28/03/2017,1036199 - 0,600.00,Revenue,20003025,PETE RUSSELL
Assistant Chief Executive,Books & Publications,D3302,28/03/2017,1036272 - 1,72.51,Revenue,20007625,MR TIM GRESSWELL
Assistant Chief Executive,Consultants Fees,D3411,07/02/2017,46292219 - 1,25000.00,Revenue,20002401,SOUTH OXFORDSHIRE DISTRICT COUNCIL
Assistant Chief Executive,Main Contractor,Y021,14/02/2017,46292607 - 18,3046.16,Capital,20018053,REED SPECIALIST RECRUITMENT LTD
Transformation,Software Maintenance/Running Costs,D3513,21/03/2017,1033606 - 0,4671.00,Revenue,20017849,NETCALL TELECOM LTD
Transformation,Services Maintenance (Planned),B1103,10/01/2017,1033855 - 0,576.00,Revenue,20019270,Clockwork Removals Limited
Transformation,Temporary Bureau Staffing,A0108,17/01/2017,1034166 - 0,1000.00,Revenue,20006509,SOCITM LIMITED
Transformation,General Contracted Services,D3401,10/01/2017,1034241 - 0,4138.33,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
Transformation,Services Maintenance (Planned),B1103,17/01/2017,1034260 - 0,480.00,Revenue,20019270,Clockwork Removals Limited
Transformation,Temporary Bureau Staffing,A0108,24/01/2017,1034304 - 0,2000.00,Revenue,20006509,SOCITM LIMITED
Transformation,Temporary Bureau Staffing,A0108,17/01/2017,1034404 - 0,14000.00,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Transformation,Services Maintenance (Planned),B1103,14/02/2017,1034575 - 0,1262.20,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
Transformation,Temporary Bureau Staffing,A0108,14/02/2017,1034633 - 0,600.00,Revenue,20006509,SOCITM LIMITED
Transformation,Services Maintenance (Planned),B1103,14/02/2017,1034742 - 0,2080.00,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
Transformation,Services Maintenance (Planned),B1103,21/02/2017,1034784 - 0,1254.57,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
Transformation,Temporary Bureau Staffing,A0108,28/02/2017,1035061 - 0,3500.00,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Transformation,Temporary Bureau Staffing,A0108,28/02/2017,1035062 - 0,3850.00,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Transformation,Temporary Bureau Staffing,A0108,28/02/2017,1035100 - 0,2000.00,Revenue,20006509,SOCITM LIMITED
Transformation,Furniture Removals,D3425,21/02/2017,1035280 - 0,2189.25,Revenue,20019270,Clockwork Removals Limited
Transformation,Temporary Bureau Staffing,A0108,21/03/2017,1035572 - 0,1000.00,Revenue,20006509,SOCITM LIMITED
Transformation,Temporary Bureau Staffing,A0108,28/03/2017,1035611 - 0,1000.00,Revenue,20006509,SOCITM LIMITED
Transformation,General Contracted Services,D3401,07/03/2017,1035686 - 0,600.00,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
Transformation,Hardware Purchase,D3520,07/03/2017,1035686 - 1,50.00,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
Transformation,General Contracted Services,D3401,28/03/2017,1036054 - 0,3350.00,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
Transformation,General Contracted Services,D3401,28/03/2017,1036055 - 0,2000.00,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
Transformation,Temporary Bureau Staffing,A0108,17/01/2017,46292253 - 4,727.75,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Transformation,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 13,2139.68,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Transformation,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 14,19372.32,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Transformation,Software Maintenance/Running Costs,D3513,24/01/2017,47988883 - 1,798.00,Revenue,20002168,DENNIS EAGLE LTD
Business Improvement,External Telephone Charges,D3503,21/03/2017,1029109 - 1,675.83,Revenue,20016588,VODAFONE LTD
Business Improvement,Management Development,A0637,10/01/2017,1033919 - 0,2500.00,Revenue,20019410,CITY & GUILDS ILM
Business Improvement,Contract Printing (External),D3303,06/01/2017,1033930 - 0,1849.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Business Improvement,Furniture & Equipment Purchase,D3001,10/01/2017,1033931 - 0,830.00,Revenue,20002998,JBL
Business Improvement,Staff Advertising,A0702,10/01/2017,1033938 - 0,6366.00,Revenue,20009611,JGP RESOURCING LTD
Business Improvement,External Telephone Charges,D3503,10/01/2017,1033939 - 1,1774.39,Revenue,20016411,"""JOHNNIE"" JOHNSON HOUSING TRUST"
Business Improvement,Temporary Bureau Staffing,A0108,10/01/2017,1033992 - 0,1000.00,Revenue,20006509,SOCITM LIMITED
Business Improvement,External Telephone Charges,D3503,07/02/2017,1033997 - 1,33700.41,Revenue,20014760,BT PAYMENT SERVICES
Business Improvement,Corporate Development Programme,A0631,10/01/2017,1034017 - 0,2102.00,Revenue,20016254,CONFLICT RESOLUTION LTD
Business Improvement,Software Maintenance/Running Costs,D3513,10/01/2017,1034095 - 0,6000.00,Revenue,20018171,SIRIUS CORPORATION LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,1034100 - 0,1000.00,Revenue,20006509,SOCITM LIMITED
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,1034101 - 0,500.00,Revenue,20006509,SOCITM LIMITED
Business Improvement,Consultants Fees,D3411,17/01/2017,1034167 - 0,2850.00,Revenue,20013158,WHITESPACE WASTE SOFTWARE LTD
Business Improvement,Consultants Fees,D3411,10/01/2017,1034172 - 0,1500.00,Revenue,20019354,INTEGRA ASSOCIATES
Business Improvement,Consultants Fees,D3411,21/02/2017,1034217 - 1,2200.00,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Business Improvement,Software Maintenance/Running Costs,D3513,10/01/2017,1034221 - 0,480.00,Revenue,20018572,AGILE COLLECTIVE LTD
Business Improvement,Software Maintenance/Running Costs,D3513,24/01/2017,1034224 - 1,784.00,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,External Telephone Charges,D3503,10/01/2017,1034226 - 1,1949.12,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Business Improvement,Online Services,D3510,10/01/2017,1034237 - 0,5168.35,Revenue,20009660,EXPERIAN LTD
Business Improvement,Software Maintenance/Running Costs,D3513,10/01/2017,1034252 - 0,8963.61,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,10/01/2017,1034253 - 1,514.25,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,10/01/2017,1034254 - 1,5656.75,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,10/01/2017,1034255 - 0,925.65,Revenue,20007875,MIDLAND HR
Business Improvement,Hospitality,D3803,24/01/2017,1034269 - 1,3784.40,Revenue,20017971,A & J CATERING (OXFORDSHIRE) LTD
Business Improvement,General Contracted Services,D3401,10/01/2017,1034289 - 0,45601.03,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Consultants Fees,D3411,10/01/2017,1034309 - 0,4800.00,Revenue,20019116,TECH SKILLS CONSULTING LTD
Business Improvement,General Contracted Services,D3401,24/01/2017,1034351 - 0,425.00,Revenue,20016844,NG BAILEY IT SERVICES LTD
Business Improvement,Consultants Fees,D3411,31/01/2017,1034359 - 0,7336.50,Revenue,20008475,ESRI (UK) LTD
Business Improvement,General Contracted Services,D3401,17/01/2017,1034400 - 0,45601.03,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,General Contracted Services,D3401,17/01/2017,1034401 - 0,1000.00,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,General Contracted Services,D3401,17/01/2017,1034402 - 0,750.00,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,General Contracted Services,D3401,17/01/2017,1034403 - 0,800.00,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Hardware Purchase,D3520,17/01/2017,1034414 - 0,12447.50,Revenue,20019338,BENTHAM LTD T/A MORGAN COMPUTERS
Business Improvement,General Stationery Supplies,D3301,24/01/2017,1034472 - 0,1463.71,Revenue,20007849,LYRECO UK LTD
Business Improvement,Hardware Purchase,D3520,17/01/2017,1034492 - 0,47315.00,Revenue,20011588,CANON (UK) lTD
Business Improvement,Hardware Purchase,D3520,17/01/2017,1034493 - 0,1150.00,Revenue,20011588,CANON (UK) lTD
Business Improvement,Short Courses,A0622,07/03/2017,1034577 - 0,1600.00,Revenue,20019427,GENIUS WITHIN CIC
Business Improvement,Software Maintenance/Running Costs,D3513,24/01/2017,1034579 - 0,2500.00,Revenue,20019354,INTEGRA ASSOCIATES
Business Improvement,Network Rental,D3531,24/01/2017,1034593 - 1,2499.80,Revenue,20016588,VODAFONE LTD
Business Improvement,Temporary Bureau Staffing,A0108,14/02/2017,1034632 - 0,800.00,Revenue,20006509,SOCITM LIMITED
Business Improvement,Travel Scheme Discount,C2505,24/01/2017,1034642 - 1,1787.50,Revenue,20006596,OXFORD BUS COMPANY LTD
Business Improvement,Travel Scheme Discount,C2505,24/01/2017,1034643 - 1,1295.40,Revenue,20006596,OXFORD BUS COMPANY LTD
Business Improvement,Software Maintenance/Running Costs,D3513,14/02/2017,1034649 - 0,2498.73,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,General Contracted Services,D3401,31/01/2017,1034676 - 0,967.50,Revenue,20011523,HERALD CHASE
Business Improvement,General Stationery Supplies,D3301,24/01/2017,1034684 - 0,1402.05,Revenue,20007849,LYRECO UK LTD
Business Improvement,Software Maintenance/Running Costs,D3513,14/02/2017,1034687 - 0,1600.00,Revenue,20018839,JADU LTD
Business Improvement,General Stationery Supplies,D3301,21/02/2017,1034755 - 0,1210.00,Revenue,20015097,HOUND ENVELOPES LTD
Business Improvement,Software Maintenance/Running Costs,D3513,21/02/2017,1034770 - 0,5500.00,Revenue,20014674,PLANNINGFINDER LIMITED
Business Improvement,Security Services,D3418,21/03/2017,1034815 - 0,1631.25,Revenue,20009730,R & R FRONTLINE SERVICES LTD
Business Improvement,General Contracted Services,D3401,21/02/2017,1034852 - 1,3700.50,Revenue,20019405,ROCKSURE SYSTEMS LTD
Business Improvement,Equipment Hire Charges,D3006,07/02/2017,1034868 - 0,550.00,Revenue,20009918,OXFORDSHIRE COUNTY COUNCIL
Business Improvement,Main Contractor,Y021,14/03/2017,1034904 - 1,900.00,Capital,20019354,INTEGRA ASSOCIATES
Business Improvement,Temporary Bureau Staffing,A0108,21/02/2017,1034908 - 0,1000.00,Revenue,20006509,SOCITM LIMITED
Business Improvement,Hardware Rental,D3521,07/02/2017,1034955 - 0,919.85,Revenue,20008022,NEOPOST FINANCE LIMITED
Business Improvement,Software Maintenance/Running Costs,D3513,14/02/2017,1034972 - 0,480.00,Revenue,20018572,AGILE COLLECTIVE LTD
Business Improvement,Conferences/Seminars,A0636,21/02/2017,1034988 - 0,1856.50,Revenue,20016197,THE KING'S CENTRE LTD
Business Improvement,Consultants Fees,D3411,07/03/2017,1035028 - 1,9800.00,Revenue,20017304,Q.LEARNING LTD
Business Improvement,General Contracted Services,D3401,28/02/2017,1035063 - 1,45601.03,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Management Development,A0637,28/02/2017,1035065 - 0,1581.20,Revenue,20019139,BRIGHTON SCHOOL OF BUSINESS AND MANAGEMENT LTD
Business Improvement,Consultants Fees,D3411,14/02/2017,1035087 - 0,5012.50,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
Business Improvement,Consultants Fees,D3411,28/02/2017,1035175 - 0,5012.50,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
Business Improvement,Health Screening,D3428,14/02/2017,1035183 - 0,1250.00,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
Business Improvement,General Stationery Supplies,D3301,28/02/2017,1035186 - 0,1952.69,Revenue,20007849,LYRECO UK LTD
Business Improvement,Software Maintenance/Running Costs,D3513,14/02/2017,1035200 - 1,2527.15,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Software Maintenance/Running Costs,D3513,14/02/2017,1035201 - 0,542.36,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Consultants Fees,D3411,14/02/2017,1035202 - 0,16000.00,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Software Purchase,D3511,28/02/2017,1035205 - 0,2294.13,Revenue,20011589,CAPITA BUSINESS SERVICES LTD
Business Improvement,Training Supplies,A0646,14/02/2017,1035207 - 0,900.67,Revenue,20012823,QUICKCALC LTD
Business Improvement,External Telephone Charges,D3503,21/02/2017,1035234 - 1,715.91,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Business Improvement,Software Maintenance/Running Costs,D3513,21/02/2017,1035237 - 1,784.00,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,Travel Scheme Discount,C2505,21/02/2017,1035250 - 1,1855.70,Revenue,20006596,OXFORD BUS COMPANY LTD
Business Improvement,Consultants Fees,D3411,07/03/2017,1035306 - 0,2375.00,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Business Improvement,Software Maintenance/Running Costs,D3513,28/02/2017,1035340 - 0,3300.00,Revenue,20019354,INTEGRA ASSOCIATES
Business Improvement,Software Maintenance/Running Costs,D3513,28/02/2017,1035341 - 0,2700.00,Revenue,20019354,INTEGRA ASSOCIATES
Business Improvement,Main Contractor,Y021,21/03/2017,1035342 - 1,5400.00,Capital,20019354,INTEGRA ASSOCIATES
Business Improvement,Contract Printing (External),D3303,21/03/2017,1035396 - 0,6651.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Business Improvement,Compliance Training (H&S),A0630,14/03/2017,1035429 - 0,600.00,Revenue,20019463,TABU LTD
Business Improvement,Consultants Fees,D3411,14/03/2017,1035436 - 0,2200.00,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Business Improvement,Contract Printing (External),D3303,21/03/2017,1035438 - 0,539.00,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Business Improvement,Software Maintenance/Running Costs,D3513,28/02/2017,1035485 - 0,1304.75,Revenue,20009001,BOTTOMLINE TECHNOLOGIES LTD
Business Improvement,Hardware Rental,D3521,07/03/2017,1035509 - 0,2802.23,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
Business Improvement,Hardware Rental,D3521,07/03/2017,1035513 - 0,1179.71,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
Business Improvement,Police Checks,D3429,07/03/2017,1035536 - 0,849.50,Revenue,20010933,KENT COUNTY COUNCIL
Business Improvement,Temporary Bureau Staffing,A0108,07/03/2017,1035597 - 0,897.22,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Business Improvement,Conferences/Seminars,A0636,28/03/2017,1035606 - 0,1818.00,Revenue,20016197,THE KING'S CENTRE LTD
Business Improvement,Temporary Bureau Staffing,A0108,28/03/2017,1035612 - 0,2000.00,Revenue,20006509,SOCITM LIMITED
Business Improvement,Software Maintenance/Running Costs,D3513,14/03/2017,1035624 - 0,480.00,Revenue,20018572,AGILE COLLECTIVE LTD
Business Improvement,Hospitality,D3803,07/03/2017,1035643 - 0,1204.20,Revenue,20017971,A & J CATERING (OXFORDSHIRE) LTD
Business Improvement,Software Maintenance/Running Costs,D3513,21/03/2017,1035655 - 0,8963.61,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,21/03/2017,1035656 - 0,514.25,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,21/03/2017,1035657 - 0,5656.75,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,21/03/2017,1035658 - 0,925.65,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,07/03/2017,1035662 - 0,3082.35,Revenue,20006550,ORACLE CORPORATION UK LTD
Business Improvement,Software Maintenance/Running Costs,D3513,07/03/2017,1035663 - 0,1541.19,Revenue,20006550,ORACLE CORPORATION UK LTD
Business Improvement,Consultants Fees,D3411,07/03/2017,1035688 - 0,8139.90,Revenue,20018748,OPTUM HEALTH SOLUTIONS (UK) LTD
Business Improvement,External Telephone Charges,D3503,14/03/2017,1035715 - 1,801.67,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Business Improvement,Software Maintenance/Running Costs,D3513,14/03/2017,1035777 - 0,7340.00,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Software Maintenance/Running Costs,D3513,21/03/2017,1035778 - 1,13397.00,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Consultants Fees,D3411,28/03/2017,1035791 - 0,5012.50,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
Business Improvement,Contract Printing (External),D3303,21/03/2017,1035830 - 1,1319.30,Revenue,20019101,CRITIQOM LTD
Business Improvement,Contract Printing (External),D3303,21/03/2017,1035832 - 0,579.61,Revenue,20019101,CRITIQOM LTD
Business Improvement,Software Maintenance/Running Costs,D3513,28/03/2017,1035852 - 0,7620.00,Revenue,20009660,EXPERIAN LTD
Business Improvement,Short Courses,A0622,14/03/2017,1035890 - 0,3900.00,Revenue,20011276,TREVOR ROBERTS ASSOCIATES LTD
Business Improvement,Consultants Fees,D3411,28/03/2017,1035919 - 1,3524.92,Revenue,20008662,ARTIFAX SOFTWARE LTD
Business Improvement,Software Maintenance/Running Costs,D3513,28/03/2017,1035954 - 1,784.00,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,General Stationery Supplies,D3301,28/03/2017,1035965 - 0,1393.51,Revenue,20007849,LYRECO UK LTD
Business Improvement,Software Maintenance/Running Costs,D3513,28/03/2017,1036005 - 0,3800.00,Revenue,20019354,INTEGRA ASSOCIATES
Business Improvement,Network Rental,D3531,28/03/2017,1036010 - 1,4716.67,Revenue,20016588,VODAFONE LTD
Business Improvement,Network Rental,D3531,28/03/2017,1036012 - 1,4716.67,Revenue,20016588,VODAFONE LTD
Business Improvement,Network Rental,D3531,28/03/2017,1036018 - 1,13123.72,Revenue,20016588,VODAFONE LTD
Business Improvement,General Contracted Services,D3401,28/03/2017,1036121 - 0,900.00,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,External Telephone Charges,D3503,04/01/2017,1036132 - 1,24049.41,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,General Contracted Services,D3401,28/03/2017,1036181 - 0,45601.63,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Software Maintenance/Running Costs,D3513,28/03/2017,1036245 - 0,3680.00,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Software Maintenance/Running Costs,D3513,28/03/2017,1036246 - 0,9370.00,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Software Maintenance/Running Costs,D3513,28/03/2017,1036247 - 0,38446.21,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Consultants Fees,D3411,24/01/2017,46292212 - 3,99.00,Revenue,20011499,TOPS
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292253 - 2,1580.64,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292253 - 3,1041.48,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292253 - 6,338.80,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 9,1423.25,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 10,8990.08,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 11,14088.80,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 12,2087.20,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 16,2040.21,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,17/01/2017,46292313 - 18,1053.19,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Security Services,D3418,31/01/2017,46292448 - 1,1568.75,Revenue,20009730,R & R FRONTLINE SERVICES LTD
Business Improvement,Consultants Fees,D3411,28/02/2017,46292552 - 3,84.00,Revenue,20011499,TOPS
Business Improvement,Consultants Fees,D3411,28/02/2017,46292552 - 12,141.00,Revenue,20011499,TOPS
Business Improvement,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 8,7764.16,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 9,657.44,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 10,19063.44,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,14/02/2017,46292607 - 12,855.07,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 10,7862.51,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 11,8172.80,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 12,821.80,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Temporary Bureau Staffing,A0108,14/03/2017,46292899 - 13,21894.48,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Consultants Fees,D3411,28/03/2017,46292939 - 3,42.00,Revenue,20011499,TOPS
Business Improvement,Consultants Fees,D3411,28/03/2017,46292939 - 7,84.00,Revenue,20011499,TOPS
Business Improvement,Consultants Fees,D3411,28/03/2017,46292939 - 17,57.00,Revenue,20011499,TOPS
Business Improvement,Other Miscellaneous Expenses,D3811,28/03/2017,46293053 - 1,500.00,Revenue,20000006,STAFF EXPENSES (CHEQUE)
