body_name,organisational_unit,expenditure_category,expenditure_code,paid_date,trans_no,amount,type,supplier_id,supplier_name
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,05/04/2016,46289355_1,1000,Revenue,20000010_46289355,
Oxford City Council,Housing and Property,Homeless Prevention,D3426,05/04/2016,46289356_1,1500,Revenue,20000010_46289356,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,05/04/2016,46289357_1,1500,Revenue,20000010_46289357,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,05/04/2016,46289358_1,2239.05,Revenue,20000010_46289358,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,05/04/2016,46289374_1,1275,Revenue,20000010_46289374,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,05/04/2016,46289376_1,1500,Revenue,20000010_46289376,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,05/04/2016,46289383_1,921.3,Revenue,20000010_46289383,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/04/2016,46289472_1,1275,Revenue,20000010_46289472,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/04/2016,46289540_1,932.76,Revenue,20000010_46289540,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/04/2016,46289541_1,600,Revenue,20000010_46289541,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/04/2016,46289542_1,2442.6,Revenue,20000010_46289542,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/04/2016,46289550_1,1931,Revenue,20000010_46289550,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/04/2016,46289576_1,2500,Revenue,20000010_46289576,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289597_1,2500,Revenue,20000010_46289597,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289607_1,1091.04,Revenue,20000010_46289607,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289615_1,1668.16,Revenue,20000010_46289615,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289615_2,900,Revenue,20000010_46289615,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289615_3,834.08,Revenue,20000010_46289615,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289615_4,132,Revenue,20000010_46289615,
Oxford City Council,HRA,Special Events,D3807,26/04/2016,46289616_1,1988.48,Revenue,20000010_46289616,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289640_1,1152,Revenue,20000010_46289640,
Oxford City Council,HRA,Special Events,D3807,26/04/2016,46289651_1,575.87,Revenue,20000010_46289651,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289657_1,731.04,Revenue,20000010_46289657,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/04/2016,46289658_1,1100,Revenue,20000010_46289658,
Oxford City Council,Housing and Property,Rent,B1701,04/05/2016,46289687_1,675,Revenue,20000010_46289687,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/05/2016,46289693_1,1419.77,Revenue,20000010_46289693,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/05/2016,46289694_1,1100,Revenue,20000010_46289694,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/05/2016,46289695_1,1700,Revenue,20000010_46289695,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/05/2016,46289724_1,791.04,Revenue,20000010_46289724,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/05/2016,46289744_1,1225,Revenue,20000010_46289744,ABBEY PROPERTIES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/05/2016,46289746_1,767.75,Revenue,20000010_46289746,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/05/2016,46289759_1,2450,Revenue,20000010_46289759,ABBEY PROPERTIES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/05/2016,46289968_1,1000,Revenue,20000010_46289968,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/05/2016,46289968_2,1150,Revenue,20000010_46289968,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/05/2016,46289968_3,575,Revenue,20000010_46289968,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/05/2016,46289968_4,2300,Revenue,20000010_46289968,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/05/2016,46289971_1,1123.92,Revenue,20000010_46289971,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/05/2016,46289972_1,1692,Revenue,20000010_46289972,
Oxford City Council,HRA,Special Events,D3807,01/06/2016,46290022_1,1144.64,Revenue,20000010_46290022,
Oxford City Council,HRA,Special Events,D3807,01/06/2016,46290024_1,552.36,Revenue,20000010_46290024,
Oxford City Council,HRA,Electrical Upgrades,B1150,07/06/2016,46290107_1,505.75,Revenue,20000010_46290107,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/06/2016,46290163_1,1200,Revenue,20000010_46290163,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/06/2016,46290164_1,1126,Revenue,20000010_46290164,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/06/2016,46290165_1,1400,Revenue,20000010_46290165,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/06/2016,46290165_2,100,Revenue,20000010_46290165,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/06/2016,46290165_3,1000,Revenue,20000010_46290165,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/06/2016,46290165_4,2800,Revenue,20000010_46290165,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/06/2016,46290189_1,818.52,Revenue,20000010_46290189,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/06/2016,46290190_1,629.6,Revenue,20000010_46290190,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/06/2016,46290191_1,608.19,Revenue,20000010_46290191,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/06/2016,46290205_1,900,Revenue,20000010_46290205,Homexperts
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/06/2016,46290205_2,1110,Revenue,20000010_46290205,Homexperts
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/06/2016,46290205_3,390.75,Revenue,20000010_46290205,Homexperts
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/06/2016,46290209_1,1106.87,Revenue,20000010_46290209,Cherwell Property Services Ltd. 
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/06/2016,46290211_1,1221.3,Revenue,20000010_46290211,
Oxford City Council,HRA,Special Events,D3807,28/06/2016,46290238_1,616,Revenue,20000010_46290238,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/06/2016,46290272_1,1036,Revenue,20000010_46290272,
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/06/2016,46290273_1,610.65,Revenue,20000010_46290273,
Oxford City Council,HRA,Special Events,D3807,28/06/2016,46290296_1,1294.46,Revenue,20000010_46290296,
Oxford City Council,Housing and Property,Other Miscellaneous Expenses,D3811,19/04/2016,46289575_1,1041.67,Revenue,20000018_46289575,
Oxford City Council,Housing and Property,Homeless Prevention,D3426,26/04/2016,46289629_1,575,Revenue,20000018_46289629,
Oxford City Council,Housing and Property,Homeless Prevention,D3426,26/04/2016,46289637_1,555,Revenue,20000018_46289637,HomeXperts
Oxford City Council,Housing and Property,Homeless Prevention,D3426,26/04/2016,46289641_1,625,Revenue,20000018_46289641,Surelet Cheltenham
Oxford City Council,Housing and Property,Homeless Prevention,D3426,17/05/2016,46289831_1,625,Revenue,20000018_46289831,Surelet Cheltenham
Oxford City Council,Housing and Property,Homeless Prevention,D3426,17/05/2016,46289832_1,680,Revenue,20000018_46289832,Property Plus
Oxford City Council,Housing and Property,Homeless Prevention,D3426,17/05/2016,46289833_1,575,Revenue,20000018_46289833,Rhodes & Sons
Oxford City Council,Housing and Property,Homeless Prevention,D3426,17/05/2016,46289834_1,555,Revenue,20000018_46289834,HomeXperts
Oxford City Council,Housing and Property,Homeless Prevention,D3426,24/05/2016,46289949_1,700,Revenue,20000018_46289949,
Oxford City Council,Housing and Property,Homeless Prevention,D3426,24/05/2016,46289950_1,760,Revenue,20000018_46289950,
Oxford City Council,Housing and Property,Homeless Prevention,D3426,14/06/2016,46290140_1,575,Revenue,20000018_46290140,
Oxford City Council,Housing and Property,Homeless Prevention,D3426,14/06/2016,46290141_1,625,Revenue,20000018_46290141,Surelet Cheltenham
Oxford City Council,Housing and Property,Homeless Prevention,D3426,28/06/2016,46290297_1,575,Revenue,20000018_46290297,
Oxford City Council,Housing and Property,Homeless Prevention,D3426,28/06/2016,46290297_2,61,Revenue,20000018_46290297,
Oxford City Council,Community Services,Contributions,D3702,05/04/2016,46289301_1,3000,Revenue,20000019_46289301,Barton United FC
Oxford City Council,Community Services,Contributions,D3702,05/04/2016,46289306_1,500,Revenue,20000019_46289306,Polstead Playgroup
Oxford City Council,Direct Services,Grants,D3701,05/04/2016,46289360_1,2016,Revenue,20000019_46289360,EAST WARD ALLOTMENT ASSOCIATION
Oxford City Council,Direct Services,Grants,D3701,05/04/2016,46289366_1,750,Revenue,20000019_46289366,BARRACKS LANE ALLOTMENTS
Oxford City Council,Community Services,Instructors & Coaching Fees,D3413,12/04/2016,46289430_1,1000,Revenue,20000019_46289430,Oxford |University Hospitals NHS Trust
Oxford City Council,Community Services,Contributions,D3702,19/04/2016,46289557_1,750,Revenue,20000019_46289557,
Oxford City Council,Community Services,Grants,D3701,10/05/2016,46289785_1,5000,Revenue,20000019_46289785,VIVA NETWORK
Oxford City Council,HRA,Grants,D3701,20/05/2016,46289938_1,903,Revenue,20000019_46289938,Donnington Tenants & Residents Association
Oxford City Council,Community Services,Grants,D3701,24/05/2016,46289948_1,800,Revenue,20000019_46289948,Oxford Hindu Temple & Community Centre Project
Oxford City Council,Community Services,Grants,D3701,24/05/2016,46289976_1,1000,Revenue,20000019_46289976,Chabad of Oxford
Oxford City Council,Community Services,General Contracted Services,D3401,01/06/2016,46289987_1,833.33,Revenue,20000019_46289987,Mandala Theatre Company CIC
Oxford City Council,Community Services,Contributions,D3702,01/06/2016,46290053_1,600,Revenue,20000019_46290053,Upper Wolvercote Allotments Associaton
Oxford City Council,Community Services,Contributions,D3702,28/06/2016,46290244_1,500,Revenue,20000019_46290244,MANDALA THEATRE COMPANY CIC
Oxford City Council,Community Services,Contributions,D3702,28/06/2016,46290282_1,1000,Revenue,20000019_46290282,HOLY FAMILY CHURCH
Oxford City Council,Community Services,Contributions,D3702,28/06/2016,46290283_1,500,Revenue,20000019_46290283,PCC OF LITTLEMORE
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_1,1633.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_10,9351.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/04/2016,46289547_11,434.7,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/04/2016,46289547_12,10613.02,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_13,1909.05,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Sustainability,Temporary Bureau Staffing,A0108,19/04/2016,46289547_14,1925,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/04/2016,46289547_15,1950.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/04/2016,46289547_16,1732.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_17,2236.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_18,1392.75,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_19,85.58,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_2,1684.32,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/04/2016,46289547_20,2071.9,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/04/2016,46289547_21,6925.11,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_22,2125.4,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_23,1200,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,19/04/2016,46289547_24,2179.02,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_25,1734.3,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,19/04/2016,46289547_26,7380,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_27,2333.48,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_28,9902.92,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_29,1789.11,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_3,2039.14,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_30,1693.8,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_31,18973.56,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_32,3993.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_33,2755.4,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_34,4068.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_35,439.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Sustainability,Temporary Bureau Staffing,A0108,19/04/2016,46289547_36,41.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/04/2016,46289547_4,462.68,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/04/2016,46289547_5,5700,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/04/2016,46289547_6,5945.36,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/04/2016,46289547_7,2433.16,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/04/2016,46289547_8,14451.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,19/04/2016,46289547_9,875.61,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_1,906.67,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_10,6473.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,24/05/2016,46289928_11,5023.89,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,24/05/2016,46289928_12,11114.98,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,24/05/2016,46289928_13,2512.82,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,24/05/2016,46289928_14,1874.83,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_15,2652.78,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,24/05/2016,46289928_16,4896,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,24/05/2016,46289928_17,3038.32,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_18,5400,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,24/05/2016,46289928_19,1471.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_2,3549.35,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_20,2254.59,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,24/05/2016,46289928_21,5940,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_22,2717.49,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_23,18518.74,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_24,1839.66,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_25,2578.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_26,20400.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_27,5194.56,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_28,8062.96,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_29,10331.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_3,1913.49,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_30,1693.77,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_31,1496.48,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_32,13.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,24/05/2016,46289928_4,2599.1,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,24/05/2016,46289928_5,2700,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,24/05/2016,46289928_6,4128.23,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,24/05/2016,46289928_7,12170.23,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,24/05/2016,46289928_8,18086.38,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,24/05/2016,46289928_9,1509.03,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_1,597.79,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_10,2430.36,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_11,2193.47,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,28/06/2016,46290212_12,1415.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,28/06/2016,46290212_13,11476.26,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,28/06/2016,46290212_14,1568.23,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_15,1146.37,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,28/06/2016,46290212_16,230,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,28/06/2016,46290212_17,6852.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_18,5550,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_19,693.11,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_2,1997.35,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,28/06/2016,46290212_20,2421.1,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_21,1527.66,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,28/06/2016,46290212_22,4320,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_23,1126.95,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_24,2604.37,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_25,2829.33,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_26,18939.9,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_27,1522.68,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_28,2093.86,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_29,24758.33,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_3,2185.96,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_30,317.9,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,28/06/2016,46290212_31,3983.29,Revenue,20000200,CHAMPION EMPLOYMENT LTD
