Client,Service Area,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,21/12/2017,46296316 - 1,1098.4,Revenue,36800074,COMMON PEOPLE OXFORD LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,21/12/2017,46296317 - 0,500,Revenue,36802130,OBSCURE PICTURES  LTD
OCC,General Fund,Difference A/c,Z910198,21/11/2017,47022639 - 3,0.01,Revenue,,
OCC,General Fund,Difference A/c,Z910198,21/11/2017,47022644 - 3,0.01,Revenue,,
OCC,General Fund,Difference A/c,Z910198,21/11/2017,47022652 - 3,0.01,Revenue,,
OCC,General Fund,Difference A/c,Z910198,27/12/2017,47022875 - 3,0.01,Revenue,,
OCC,General Fund,Difference A/c,Z910198,27/12/2017,47022881 - 3,0.01,Revenue,,
OCC,General Fund,Difference A/c,Z910198,27/12/2017,47022894 - 3,0.01,Revenue,,
OCC,Assistant Chief Executive,General Contracted Services,D3401,03/10/2017,1039998 - 0,720,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
OCC,Assistant Chief Executive,Consultants Fees,D3411,10/10/2017,1040046 - 0,5500,Revenue,20019473,WATERSHED ARTS TRUST LTD
OCC,Assistant Chief Executive,General Contracted Services,D3401,31/10/2017,1040660 - 0,1300,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,24/10/2017,1040872 - 0,2100,Revenue,20008415,HARTLEY MILNER
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,14/11/2017,1040995 - 0,4648,Revenue,20019080,MORTONS MEDIA GROUP LTD
OCC,Assistant Chief Executive,General Contracted Services,D3401,21/11/2017,1041046 - 0,5000,Revenue,20011846,OXFORD CONSULTANTS FOR SOCIAL INCLUSION LTD
OCC,Assistant Chief Executive,Postage & Carriage,D3501,28/11/2017,1041558 - 0,3662.28,Revenue,20018480,THE NATIONAL LEAFLET COMPANY
OCC,Assistant Chief Executive,Staff Advertising,A0702,12/12/2017,1041923 - 0,450,Revenue,20014693,REDACTIVE MEDIA SALES LIMITED
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,19/12/2017,1042113 - 0,825,Revenue,20019781,ATH FILM
OCC,Assistant Chief Executive,Staff Advertising,A0702,27/12/2017,1042191 - 0,845,Revenue,20009528,HAYMARKET MEDIA GROUP
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,19/12/2017,1042384 - 0,11220,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,19/12/2017,1042385 - 0,4290,Revenue,20016203,PENNA PLC
OCC,Transformation,Temporary Bureau Staffing,A0108,10/10/2017,1040100 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,10/10/2017,1040102 - 0,600,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,24/10/2017,1040368 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Hardware Purchase,D3520,31/10/2017,1040538 - 0,3206.5,Revenue,20012388,BT BUSINESS DIRECT
OCC,Transformation,Temporary Bureau Staffing,A0108,31/10/2017,1040725 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,14/11/2017,1040887 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,31/10/2017,1041048 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,21/11/2017,1041094 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,21/11/2017,1041095 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,28/11/2017,1041334 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,12/12/2017,1041792 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,27/12/2017,1042152 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,27/12/2017,1042439 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,Temporary Bureau Staffing,A0108,17/10/2017,46295531 - 5,46382.56,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Transformation,Temporary Bureau Staffing,A0108,14/11/2017,46295891 - 15,38499.04,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Transformation,Temporary Bureau Staffing,A0108,12/12/2017,46296115 - 14,40243.4,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Business Improvement,General Contracted Services,D3401,14/11/2017,1036983 - 0,3537.91,Revenue,20016844,NG BAILEY IT SERVICES LTD
OCC,Business Improvement,Main Contractor,Y021,17/10/2017,1039699 - 0,5400,Capital,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Contract Printing (External),D3303,03/10/2017,1039903 - 0,7362,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Postage & Carriage,D3501,03/10/2017,1039932 - 1,1588.96,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Postage & Carriage,D3501,03/10/2017,1039932 - 2,-794.48,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,General Contracted Services,D3401,24/10/2017,1039934 - 0,2166.67,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Consultants Fees,D3411,31/10/2017,1039937 - 1,9300,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,03/10/2017,1039947 - 0,542.47,Revenue,20013463,IDOX SOFTWARE LTD
OCC,Business Improvement,Main Contractor,Y021,10/10/2017,1039991 - 0,800,Capital,20018839,JADU LTD
OCC,Business Improvement,Consultants Fees,D3411,03/10/2017,1039999 - 0,3750,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Consultants Fees,D3411,10/10/2017,1040005 - 0,2600,Revenue,20019704,LUCY FRANCESCA LTD
OCC,Business Improvement,Rent,B1701,03/10/2017,1040042 - 1,5487.48,Revenue,20017686,WORKMAN LLP
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,03/10/2017,1040067 - 1,784,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,General Contracted Services,D3401,10/10/2017,1040192 - 0,1125,Revenue,20009269,NTA MONITOR LTD
OCC,Business Improvement,External Telephone Charges,D3503,10/10/2017,1040194 - 1,19449.36,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,Travel Scheme Discount,C2505,17/10/2017,1040203 - 1,1402.8,Revenue,20006596,OXFORD BUS COMPANY LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,17/10/2017,1040238 - 0,29801.68,Revenue,20013158,WHITESPACE WASTE SOFTWARE LTD
OCC,Business Improvement,Compliance Training (H&S),A0630,17/10/2017,1040254 - 0,750.82,Revenue,20007924,SOUTH CENTRAL AMBULANCE SERVICE
OCC,Business Improvement,Consultants Fees,D3411,17/10/2017,1040265 - 0,5151.88,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
OCC,Business Improvement,CPD (Continuous Professional Development),A0634,03/10/2017,1040270 - 1,1500,Revenue,20017400,THOMAS INTERNATIONAL UK LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,10/10/2017,1040326 - 0,2200,Revenue,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,03/10/2017,1040328 - 0,16882.43,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
OCC,Business Improvement,Consultants Fees,D3411,03/10/2017,1040344 - 0,900,Revenue,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Main Contractor,Y021,17/10/2017,1040345 - 0,5400,Capital,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Main Contractor,Y021,17/10/2017,1040346 - 0,1800,Capital,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Hardware Purchase,D3520,03/10/2017,1040370 - 0,2375,Revenue,20012388,BT BUSINESS DIRECT
OCC,Business Improvement,Postage & Carriage,D3501,03/10/2017,1040370 - 1,5,Revenue,20012388,BT BUSINESS DIRECT
OCC,Business Improvement,Postage & Carriage,D3501,03/10/2017,1040375 - 0,1119.88,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Consultants Fees,D3411,31/10/2017,1040397 - 0,2500,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,10/10/2017,1040440 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Consultants Fees,D3411,24/10/2017,1040447 - 0,1950,Revenue,20014697,"Verint Systems UK Ltd.,"
OCC,Business Improvement,Network Rental,D3531,10/10/2017,1040463 - 1,3264.03,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,General Contracted Services,D3401,24/10/2017,1040549 - 0,48193.27,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,General Contracted Services,D3401,24/10/2017,1040550 - 0,1900,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Main Contractor,Y021,10/10/2017,1040552 - 1,8800,Capital,20019716,KINGSLEY CIS LTD
OCC,Business Improvement,Software Purchase,D3511,17/10/2017,1040593 - 0,3713.69,Revenue,20019668,PLANET IT LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,17/10/2017,1040593 - 1,3205.14,Revenue,20019668,PLANET IT LTD
OCC,Business Improvement,External Telephone Charges,D3503,31/10/2017,1040637 - 1,22385.59,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,General Contracted Services,D3401,17/10/2017,1040651 - 0,818.5,Revenue,20011588,CANON (UK) lTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,31/10/2017,1040682 - 0,4875,Revenue,20007877,COMPUTACENTER (UK) LTD
OCC,Business Improvement,Consultants Fees,D3411,31/10/2017,1040686 - 0,3750,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Postage & Carriage,D3501,24/10/2017,1040690 - 0,875.46,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Postage & Carriage,D3501,17/10/2017,1040691 - 0,893.65,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Postage & Carriage,D3501,17/10/2017,1040694 - 0,1389.03,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Conferences/Seminars,A0636,31/10/2017,1040724 - 0,1893.5,Revenue,20016197,THE KING'S CENTRE LTD
OCC,Business Improvement,General Stationery Supplies,D3301,24/10/2017,1040733 - 0,1788.88,Revenue,20007849,LYRECO UK LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,07/11/2017,1040755 - 0,571.74,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,External Telephone Charges,D3503,24/10/2017,1040759 - 1,19449.36,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,External Telephone Charges,D3503,14/11/2017,1040760 - 1,19747.97,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,Photocopying/Paper Supplies,D3306,07/11/2017,1040761 - 1,14516.46,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
OCC,Business Improvement,Main Contractor,Y021,31/10/2017,1040767 - 0,8173,Capital,20019724,TECHBUYER LTD
OCC,Business Improvement,General Contracted Services,D3401,31/10/2017,1040786 - 0,3375,Revenue,20009269,NTA MONITOR LTD
OCC,Business Improvement,General Contracted Services,D3401,24/10/2017,1040796 - 0,1035.92,Revenue,20015540,TWOFOLD LTD
OCC,Business Improvement,Contract Printing (External),D3303,24/10/2017,1040797 - 0,2284.67,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Contract Printing (External),D3303,24/10/2017,1040798 - 0,4899,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Postage & Carriage,D3501,31/10/2017,1040823 - 0,1348.08,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Contract Printing (External),D3303,24/10/2017,1040824 - 0,990,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,14/11/2017,1040843 - 0,2611,Revenue,20009010,DOCUMENT OUTPUT SOLUTIONS LTD
OCC,Business Improvement,Main Contractor,Y021,14/11/2017,1040893 - 0,12041,Capital,20019734,WATERFORD TECHNOLOGIES
OCC,Business Improvement,Staff Advertising,A0702,07/11/2017,1040894 - 0,1371.44,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Business Improvement,Training Supplies,A0646,31/10/2017,1040934 - 0,2100,Revenue,20018450,CLEAR AND CREATIVE COMMUNICATIONS
OCC,Business Improvement,General Contracted Services,D3401,14/11/2017,1040936 - 0,22071.65,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,General Contracted Services,D3401,14/11/2017,1040937 - 0,48120.91,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,General Contracted Services,D3401,14/11/2017,1040938 - 0,1900,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Consultants Fees,D3411,14/11/2017,1040942 - 0,1200,Revenue,20019704,LUCY FRANCESCA LTD
OCC,Business Improvement,General Contracted Services,D3401,14/11/2017,1040987 - 0,3329.71,Revenue,20016844,NG BAILEY IT SERVICES LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,14/11/2017,1041002 - 0,1023.03,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,General Contracted Services,D3401,31/10/2017,1041011 - 0,509.56,Revenue,20009269,NTA MONITOR LTD
OCC,Business Improvement,Postage & Carriage,D3501,07/11/2017,1041021 - 0,1335.27,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Servitor,D3508,31/10/2017,1041024 - 0,753,Revenue,20010153,CIVICA UK LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,31/10/2017,1041040 - 1,784,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,Network Rental,D3531,31/10/2017,1041042 - 1,5968.68,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,External Telephone Charges,D3503,07/11/2017,1041043 - 1,950.98,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,Consultants Fees,D3411,31/10/2017,1041044 - 0,3500,Revenue,20014438,NORTHGATE ARINSO UK LTD
OCC,Business Improvement,Consultants Fees,D3411,21/11/2017,1041066 - 0,950,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,General Contracted Services,D3401,05/12/2017,1041067 - 0,3700.5,Revenue,20019405,ROCKSURE SYSTEMS LTD
OCC,Business Improvement,External Telephone Charges,D3503,07/11/2017,1041119 - 1,703.49,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
OCC,Business Improvement,General Contracted Services,D3401,14/11/2017,1041126 - 0,3279.71,Revenue,20016844,NG BAILEY IT SERVICES LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,07/11/2017,1041154 - 0,445.04,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Postage & Carriage,D3501,14/11/2017,1041160 - 0,674.17,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,14/11/2017,1041186 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Hardware Rental,D3521,07/11/2017,1041244 - 0,919.85,Revenue,20008022,NEOPOST FINANCE LIMITED
OCC,Business Improvement,Consultants Fees,D3411,28/11/2017,1041285 - 1,5151.88,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
OCC,Business Improvement,Travel Scheme Discount,C2505,14/11/2017,1041308 - 1,2100.2,Revenue,20006596,OXFORD BUS COMPANY LTD
OCC,Business Improvement,IT Skills Development,A0638,05/12/2017,1041356 - 0,775,Revenue,20019752,UNIFIED TRAINING LTD T/A UNITRAIN
OCC,Business Improvement,General Stationery Supplies,D3301,28/11/2017,1041360 - 0,1618.76,Revenue,20007849,LYRECO UK LTD
OCC,Business Improvement,Subscriptions,D3703,14/11/2017,1041391 - 0,480,Revenue,20017490,"CENTRE FOR CIVIL SOCIETY LTD.,"
OCC,Business Improvement,Postage & Carriage,D3501,28/11/2017,1041408 - 0,846.09,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Contract Printing (External),D3303,28/11/2017,1041409 - 0,491.66,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,External Telephone Charges,D3503,21/11/2017,1041444 - 1,720.3,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
OCC,Business Improvement,Main Contractor,Y021,28/11/2017,1041456 - 0,7200,Capital,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,21/11/2017,1041474 - 0,457.29,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
OCC,Business Improvement,Postage & Carriage,D3501,28/11/2017,1041530 - 0,9943.81,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Contract Printing (External),D3303,28/11/2017,1041531 - 0,1721,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,General Contracted Services,D3401,05/12/2017,1041533 - 0,8600,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,Furniture & Equipment Purchase,D3001,21/11/2017,1041536 - 0,1230,Revenue,20003374,CITY AUDIO VISUAL
OCC,Business Improvement,Consultants Fees,D3411,21/11/2017,1041555 - 0,2419.3,Revenue,20017939,CENTRE FOR ASSESMENT
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,28/11/2017,1041591 - 0,750,Revenue,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,28/11/2017,1041592 - 0,2640,Revenue,20019354,INTEGRA ASSOCIATES
OCC,Business Improvement,Network Rental,D3531,28/11/2017,1041614 - 1,4160.4,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,Contract Printing (External),D3303,28/11/2017,1041705 - 0,6096,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,28/11/2017,1041708 - 0,1787.21,Revenue,20018546,JAAMA LTD
OCC,Business Improvement,IT Skills Development,A0638,28/11/2017,1041709 - 0,9000,Revenue,20016770,LEARNING POOL LTD
OCC,Business Improvement,General Contracted Services,D3401,12/12/2017,1041719 - 0,48120.91,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,General Contracted Services,D3401,12/12/2017,1041720 - 0,1900,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Hardware Rental,D3521,05/12/2017,1041731 - 0,912.63,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
OCC,Business Improvement,Hardware Rental,D3521,05/12/2017,1041736 - 0,2625.8,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
OCC,Business Improvement,Consultants Fees,D3411,19/12/2017,1041753 - 1,2850,Revenue,20010779,ESTEEM SYSTEMS  LTD
OCC,Business Improvement,Postage & Carriage,D3501,05/12/2017,1041761 - 0,1586.59,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Contract Printing (External),D3303,05/12/2017,1041762 - 0,444.22,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,Furniture & Equipment Purchase,D3001,05/12/2017,1041772 - 0,675.16,Revenue,20009620,POSTURITE LTD
OCC,Business Improvement,Furniture & Equipment Purchase,D3001,28/11/2017,1041774 - 0,880.1,Revenue,20009620,POSTURITE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,12/12/2017,1041781 - 0,950.64,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,12/12/2017,1041782 - 0,5809.48,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,12/12/2017,1041783 - 0,528.14,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,12/12/2017,1041784 - 0,9205.62,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Short Courses,A0622,12/12/2017,1041785 - 0,2666,Revenue,20007697,THE OPEN UNIVERSITY
OCC,Business Improvement,Hardware Purchase,D3520,19/12/2017,1041787 - 0,705.62,Revenue,20012388,BT BUSINESS DIRECT
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,19/12/2017,1041838 - 0,4361.97,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,Main Contractor,Y021,19/12/2017,1041852 - 0,600,Capital,20019724,TECHBUYER LTD
OCC,Business Improvement,Travel Scheme Discount,C2505,05/12/2017,1041854 - 0,3300,Revenue,20017916,ICOM WORKS LTD
OCC,Business Improvement,Network Rental,D3531,05/12/2017,1041884 - 1,4059.94,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,Consultants Fees,D3411,27/12/2017,1041919 - 0,5151.88,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,05/12/2017,1041928 - 0,25000,Revenue,20013463,IDOX SOFTWARE LTD
OCC,Business Improvement,Postage & Carriage,D3501,12/12/2017,1041933 - 0,835.99,Revenue,20019101,CRITIQOM LTD
OCC,Business Improvement,General Contracted Services,D3401,12/12/2017,1041957 - 0,6494,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
OCC,Business Improvement,External Telephone Charges,D3503,12/12/2017,1041977 - 1,19915.87,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,05/12/2017,1041978 - 1,784,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,External Telephone Charges,D3503,05/12/2017,1041979 - 1,700.11,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
