body_name,organisational_unit,expenditure_category,expenditure_code,paid_date,trans_no,amount,Type,supplier_id,supplier_name
Oxford City Council,Environmental Development,Subsistence,D3601,11/11/2014,46283745_2,2000,Revenue,20000000_46283745,FUTERRA SUSTAINABILITY COMMUNICATIONS LTD
Oxford City Council,Customer Services,Grants,D3701,11/11/2014,46283746_1,2088,Revenue,20000000_46283746,ANNE PRINCE
Oxford City Council,Suspense,Creditors - BACS,J8810,18/11/2014,46283786_1,500,Revenue,20000000_46283786,Redacted Personal Data
Oxford City Council,Human Resources & Facilities,Furniture & Equipment Purchase,D3001,25/11/2014,46283876_1,2355,Revenue,20000000_46283876,ANN LAING FLOWERS
Oxford City Council,Human Resources & Facilities,Furniture & Equipment Purchase,D3001,25/11/2014,46283876_2,-666.67,Revenue,20000000_46283876,ANN LAING FLOWERS
Oxford City Council,Regeneration and Major Projects Team,Property Rents/Income,K9450,25/11/2014,46283898_1,29787.23,Revenue,20000000_46283898,SAFE TRANZ SYSTEMS LTD
Oxford City Council,Interest Payable & Investment Income,Other Interest,H7802,25/11/2014,46283898_2,681.78,Revenue,20000000_46283898,SAFE TRANZ SYSTEMS LTD
Oxford City Council,Regeneration and Major Projects Team,General Contracted Services,D3401,25/11/2014,46283917_1,2600,Revenue,20000000_46283917,MESSRS DUNCAN & BAILEY-KENNEDY
Oxford City Council,Customer Services,Grants,D3701,04/12/2014,46283976_1,4217,Revenue,20000000_46283976,MRS SAMANTHA WARNER
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,04/12/2014,46284001_1,1000,Revenue,20000000_46284001,OUSU CHARITY RAG
Oxford City Council,Regeneration and Major Projects Team,Building Alterations & Modifications,B1108,28/11/2014,46284002_1,3698,Revenue,20000000_46284002,Redacted Personal Data
Oxford City Council,Regeneration and Major Projects Team,Building Alterations & Modifications,B1108,28/11/2014,46284002_2,330.96,Revenue,20000000_46284002,Redacted Personal Data
Oxford City Council,Suspense,Creditors - BACS,J8810,04/12/2014,46284036_1,835.54,Revenue,20000000_46284036,Redacted Personal Data
Oxford City Council,Human Resources & Facilities,Short Courses,A0622,09/12/2014,46284040_1,8500,Revenue,20000000_46284040,WEB RECRUIT LTD
Oxford City Council,Customer Services,Grants,D3701,16/12/2014,46284144_1,2500,Revenue,20000000_46284144,WEST OXFORD BOWLS CLUB
Oxford City Council,Suspense,Other External Funding,W1004,23/12/2014,46284178_1,5490,Revenue,20000000_46284178,SUMMERTOWN & ST MARGARETS NEIGHBOURHOOD FORUM
Oxford City Council,Customer Services,Grants,D3701,23/12/2014,46284192_1,5000,Revenue,20000000_46284192,DR JON CLELAND
Oxford City Council,Customer Services,Grants,D3701,23/12/2014,46284236_1,5000,Revenue,20000000_46284236,MR MICHAEL HOGGETT
Oxford City Council,City Development,Services - General Fees,K9501,31/12/2014,46284253_1,1986.75,Revenue,20000000_46284253,Redacted Personal Data
Oxford City Council,General Fund,VAT Pro Forma Invoices,Z110205,31/12/2014,46284253_2,397.35,Revenue,20000000_46284253,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,07/10/2014,46283304_1,2500,Revenue,20000010_46283304,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,07/10/2014,46283327_1,900,Revenue,20000010_46283327,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,07/10/2014,46283329_1,1422.4,Revenue,20000010_46283329,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,07/10/2014,46283335_1,1132,Revenue,20000010_46283335,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,07/10/2014,46283337_1,1209.9,Revenue,20000010_46283337,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/10/2014,46283363_1,500,Revenue,20000010_46283363,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/10/2014,46283364_1,900,Revenue,20000010_46283364,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/10/2014,46283365_1,504,Revenue,20000010_46283365,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/10/2014,46283370_1,1210.64,Revenue,20000010_46283370,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/10/2014,46283371_1,900,Revenue,20000010_46283371,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/10/2014,46283426_1,1190.4,Revenue,20000010_46283426,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/10/2014,46283427_1,1190.4,Revenue,20000010_46283427,Redacted Personal Data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,21/10/2014,46283457_1,500,Revenue,20000010_46283457,Redacted Personal Data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,21/10/2014,46283471_1,500,Revenue,20000010_46283471,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/10/2014,46283478_1,1500,Revenue,20000010_46283478,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/10/2014,46283487_1,575,Revenue,20000010_46283487,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/10/2014,46283491_1,600,Revenue,20000010_46283491,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/10/2014,46283493_1,900,Revenue,20000010_46283493,Redacted Personal Data
Oxford City Council,Housing and Property,Rent,B1701,21/10/2014,46283495_1,1275,Revenue,20000010_46283495,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283527_1,600,Revenue,20000010_46283527,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283528_1,250,Revenue,20000010_46283528,LANSBOROUGH LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283528_2,895,Revenue,20000010_46283528,LANSBOROUGH LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283528_3,1342.5,Revenue,20000010_46283528,LANSBOROUGH LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283530_1,850,Revenue,20000010_46283530,MR R RUDMAN
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283531_1,900,Revenue,20000010_46283531,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283531_2,480,Revenue,20000010_46283531,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283531_3,960,Revenue,20000010_46283531,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283535_1,600,Revenue,20000010_46283535,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283570_1,1650,Revenue,20000010_46283570,COLLEGE & COUNTY
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283587_1,900,Revenue,20000010_46283587,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283593_1,925,Revenue,20000010_46283593,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283595_1,925,Revenue,20000010_46283595,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/10/2014,46283598_1,900,Revenue,20000010_46283598,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,04/11/2014,46283649_1,1233.23,Revenue,20000010_46283649,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/11/2014,46283653_1,825,Revenue,20000010_46283653,COLLEGE & COUNTY LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/11/2014,46283658_1,500,Revenue,20000010_46283658,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,04/11/2014,46283667_1,2154.26,Revenue,20000010_46283667,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,04/11/2014,46283669_1,550,Revenue,20000010_46283669,AG JACOB & SONS
Oxford City Council,HRA,Special Events,D3807,04/11/2014,46283678_1,520,Revenue,20000010_46283678,BELLVIEW TRANSPORT
Oxford City Council,HRA,Void Work,B1182,11/11/2014,46283694_1,911,Revenue,20000010_46283694,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/11/2014,46283700_1,704.38,Revenue,20000010_46283700,LEEP PROPERTIES LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/11/2014,46283712_1,553.84,Revenue,20000010_46283712,BROOMHEADS ESTATES AGENTS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/11/2014,46283713_1,600,Revenue,20000010_46283713,BROOMHEADS ESTATE AGENTS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/11/2014,46283714_1,1200,Revenue,20000010_46283714,BROOMHEADS ESTATE AGENTS
Oxford City Council,Housing and Property,Homeless Prevention,D3426,11/11/2014,46283715_1,500,Revenue,20000010_46283715,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/11/2014,46283718_1,1190.4,Revenue,20000010_46283718,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/11/2014,46283719_1,1190.4,Revenue,20000010_46283719,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,11/11/2014,46283721_1,1000,Revenue,20000010_46283721,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,11/11/2014,46283722_1,985.99,Revenue,20000010_46283722,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,18/11/2014,46283783_1,920,Revenue,20000010_46283783,BELLVIEW TRANSPORT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/11/2014,46283787_1,1100,Revenue,20000010_46283787,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/11/2014,46283789_1,900,Revenue,20000010_46283789,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/11/2014,46283791_1,900,Revenue,20000010_46283791,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/11/2014,46283793_1,900,Revenue,20000010_46283793,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,18/11/2014,46283811_1,1044,Revenue,20000010_46283811,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/11/2014,46283820_1,900,Revenue,20000010_46283820,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/11/2014,46283822_1,1190.4,Revenue,20000010_46283822,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/11/2014,46283823_1,1850,Revenue,20000010_46283823,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,18/11/2014,46283841_1,1494.98,Revenue,20000010_46283841,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,18/11/2014,46283842_1,1554.81,Revenue,20000010_46283842,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/11/2014,46283862_1,600,Revenue,20000010_46283862,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283884_1,1650,Revenue,20000010_46283884,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283885_1,825,Revenue,20000010_46283885,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283886_1,1095,Revenue,20000010_46283886,BRECKON & BRECKON
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283887_1,1642.5,Revenue,20000010_46283887,BRECKON & BRECKON
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283921_1,900,Revenue,20000010_46283921,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283922_1,1344,Revenue,20000010_46283922,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283923_1,1100,Revenue,20000010_46283923,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283925_1,1190.4,Revenue,20000010_46283925,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283927_1,500,Revenue,20000010_46283927,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/11/2014,46283934_1,1315.38,Revenue,20000010_46283934,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,25/11/2014,46283956_1,711.65,Revenue,20000010_46283956,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,04/12/2014,46283977_1,1063.8,Revenue,20000010_46283977,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/12/2014,46283980_1,900,Revenue,20000010_46283980,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/12/2014,46283986_1,910,Revenue,20000010_46283986,PRESTIGE PROPERTIES (OXFORD) LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/12/2014,46283987_1,1410,Revenue,20000010_46283987,PRESTIGE PROPERTIES (OXFORD) LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/12/2014,46283990_1,1200,Revenue,20000010_46283990,MRS G BURN
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/12/2014,46284041_1,600,Revenue,20000010_46284041,MRS G BURN
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/12/2014,46284045_1,525,Revenue,20000010_46284045,MRS G BURN
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/12/2014,46284046_1,1000,Revenue,20000010_46284046,MRS G BURN
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/12/2014,46284052_1,1100,Revenue,20000010_46284052,MRS G BURN
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/12/2014,46284053_1,1344,Revenue,20000010_46284053,MRS G BURN
Oxford City Council,HRA,Special Events,D3807,09/12/2014,46284054_1,2500,Revenue,20000010_46284054,MRS G BURN
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/12/2014,46284055_1,1700,Revenue,20000010_46284055,ABBEY GROUP PROPERTY MANAGEMENT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/12/2014,46284059_1,1477,Revenue,20000010_46284059,ABBEY GROUP PROPERTY MANAGEMENT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/12/2014,46284065_1,1712.38,Revenue,20000010_46284065,ABBEY GROUP PROPERTY MANAGEMENT
Oxford City Council,HRA,Special Events,D3807,09/12/2014,46284068_1,1904,Revenue,20000010_46284068,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/12/2014,46284107_1,1700,Revenue,20000010_46284107,Abby Group Property Management Ltd
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/12/2014,46284126_1,600,Revenue,20000010_46284126,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/12/2014,46284131_1,890,Revenue,20000010_46284131,Redacted Personal Data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,16/12/2014,46284135_1,500,Revenue,20000010_46284135,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/12/2014,46284145_1,1900,Revenue,20000010_46284145,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/12/2014,46284148_1,1200,Revenue,20000010_46284148,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/12/2014,46284161_1,900,Revenue,20000010_46284161,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/12/2014,46284179_1,2000,Revenue,20000010_46284179,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/12/2014,46284180_1,900,Revenue,20000010_46284180,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/12/2014,46284181_1,1000,Revenue,20000010_46284181,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,23/12/2014,46284194_1,642.79,Revenue,20000010_46284194,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/12/2014,46284204_1,890.4,Revenue,20000010_46284204,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/12/2014,46284233_1,500,Revenue,20000010_46284233,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/12/2014,46284238_1,600,Revenue,20000010_46284238,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/12/2014,46284238_2,270,Revenue,20000010_46284238,Redacted Personal Data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,31/12/2014,46284256_1,1237.5,Revenue,20000010_46284256,Redacted Personal Data
Oxford City Council,HRA,Special Events,D3807,31/12/2014,46284286_1,1494.98,Revenue,20000010_46284286,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,31/12/2014,46284291_1,1200,Revenue,20000010_46284291,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,31/12/2014,46284305_1,890.4,Revenue,20000010_46284305,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,31/12/2014,46284309_1,900,Revenue,20000010_46284309,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,31/12/2014,46284310_1,1350,Revenue,20000010_46284310,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,31/12/2014,46284312_1,1100,Revenue,20000010_46284312,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,31/12/2014,46284314_1,729.72,Revenue,20000010_46284314,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,31/12/2014,46284315_1,892.8,Revenue,20000010_46284315,Redacted Personal Data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,31/12/2014,46284316_1,925,Revenue,20000010_46284316,Redacted Personal Data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,21/10/2014,46283481_1,550,Revenue,20000018_46283481,JOHNSONS CHARTERED SURVEYORS
Oxford City Council,Housing and Property,Homeless Prevention,D3426,21/10/2014,46283483_1,625,Revenue,20000018_46283483,HMT PROPERTY MANAGEMENT
Oxford City Council,"Policy, Culture and Communication",Grants,D3701,28/10/2014,46283544_1,900,Revenue,20000018_46283544,Redacted Personal Data
Oxford City Council,Housing and Property,Advertising & Publicity,D3802,18/11/2014,46283785_1,507.7,Revenue,20000018_46283785,Redacted Personal Data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,18/11/2014,46283858_1,1100,Revenue,20000018_46283858,JOHNSONS CHARTERED SURVEYORS
Oxford City Council,Housing and Property,Homeless Prevention,D3426,18/11/2014,46283859_1,1190,Revenue,20000018_46283859,PETER BALL & CO
Oxford City Council,Housing and Property,Consultants Fees,D3411,04/12/2014,46283975_1,1800,Revenue,20000018_46283975,ETHICAL LETTINGS CIC
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,21/10/2014,46283496_1,800,Revenue,20000019_46283496,HUBBUB FOUNDATION UK
Oxford City Council,"Policy, Culture and Communication",Grants,D3701,18/11/2014,46283826_1,1000,Revenue,20000019_46283826,CREATE (ARTS) LTD
Oxford City Council,"Policy, Culture and Communication",Grants,D3701,25/11/2014,46283908_1,770,Revenue,20000019_46283908,EXPRESSION SCHOOL OF BALLET & THEATRE ARTS
Oxford City Council,"Policy, Culture and Communication",Grants,D3701,25/11/2014,46283967_1,1000,Revenue,20000019_46283967,N W S O'BRIEN
Oxford City Council,"Policy, Culture and Communication",Grants,D3701,04/12/2014,46284030_1,500,Revenue,20000019_46284030,CARU
Oxford City Council,"Policy, Culture and Communication",General Contracted Services,D3401,09/12/2014,46284058_1,700,Revenue,20000019_46284058,JONATHAN WESTON
Oxford City Council,"Policy, Culture and Communication",General Contracted Services,D3401,09/12/2014,46284081_1,1000,Revenue,20000019_46284081,JUSTICE IN MOTION
Oxford City Council,Business Improvement & Technology,Commission/Discount,K9472,14/10/2014,46283452_1,-1586.72,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Temporary Bureau Staffing,A0108,14/10/2014,46283452_10,16849.64,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,14/10/2014,46283452_11,2329.23,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,14/10/2014,46283452_12,6220.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,14/10/2014,46283452_13,7884.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,14/10/2014,46283452_14,7228.7,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,14/10/2014,46283452_15,21614.96,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,14/10/2014,46283452_16,5197.35,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,14/10/2014,46283452_17,2034.83,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,14/10/2014,46283452_18,2048.21,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,14/10/2014,46283452_19,1879.59,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Holding Accounts & Other Funds,Difference A/c,Z910198,14/10/2014,46283452_2,-0.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,14/10/2014,46283452_20,8343.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,14/10/2014,46283452_21,4709.48,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,14/10/2014,46283452_22,13968.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,14/10/2014,46283452_23,3550.76,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,14/10/2014,46283452_24,1267.15,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,14/10/2014,46283452_25,3369.96,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,14/10/2014,46283452_26,1746.54,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,14/10/2014,46283452_27,5880,Revenue,20000200,CHAMPION EMPLOYMENT LTD
