Service Area,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name
Assistant Chief Executive,General Contracted Services,D3401,13/06/2017,1037749 - 1,850,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
Assistant Chief Executive,General Contracted Services,D3401,06/06/2017,1037764 - 0,580,Revenue,20017948,INSPIRING DRAMA (THOMAS BROOKS)
Assistant Chief Executive,Main Contractor,Y021,06/06/2017,1037872 - 0,4550,Capital,20019436,REGIONAL NETWORKING SOLUTIONS LTD
Assistant Chief Executive,Staff Advertising,A0702,27/06/2017,1037957 - 0,2950,Revenue,20004336,HEMMING GROUP LTD
Assistant Chief Executive,General Contracted Services,D3401,13/06/2017,1037971 - 0,4800,Revenue,20019600,ACCESS INTELLIGENCE MEDIA & COMMUNICATIONS LTD
Assistant Chief Executive,Contract Printing (External),D3303,27/06/2017,1038022 - 0,4648,Revenue,20019080,MORTONS MEDIA GROUP LTD
Assistant Chief Executive,Main Contractor,Y021,19/04/2017,46293414 - 21,4217.76,Capital,20018053,REED SPECIALIST RECRUITMENT LTD
Assistant Chief Executive,Temporary Bureau Staffing,A0108,19/04/2017,46293414 - 26,3865.21,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Assistant Chief Executive,Temporary Bureau Staffing,A0108,25/04/2017,46293486 - 1,16330,Revenue,20016203,PENNA PLC
Assistant Chief Executive,Temporary Bureau Staffing,A0108,16/05/2017,46293675 - 11,3211.18,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Assistant Chief Executive,Temporary Bureau Staffing,A0108,16/05/2017,46293712 - 1,16330,Revenue,20016203,PENNA PLC
Assistant Chief Executive,Consultants Fees,D3411,23/05/2017,46293772 - 1,12810,Revenue,20018173,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI
Assistant Chief Executive,Temporary Bureau Staffing,A0108,13/06/2017,46294016 - 21,2858.03,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Transformation,Subscriptions,D3703,19/04/2017,1036296 - 0,2451,Revenue,20019201,BARBOUR-ABI
Transformation,Software Maintenance/Running Costs,D3513,11/04/2017,1036402 - 0,3737.13,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
Transformation,General Contracted Services,D3401,11/04/2017,1036537 - 0,2306,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
Transformation,Consultants Fees,D3411,19/04/2017,1036819 - 0,3800,Revenue,20013463,IDOX SOFTWARE LTD
Transformation,Reactive Maintenance & Minor Repairs,B1101,31/05/2017,1037179 - 0,1749.4,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
Transformation,IT Skills Development,A0638,31/05/2017,1037693 - 0,1840,Revenue,20019432,GLOBELINK (UK) LTD
Transformation,Temporary Bureau Staffing,A0108,27/06/2017,1037987 - 0,2400,Revenue,20006509,SOCITM LIMITED
Transformation,Software Purchase,D3511,20/06/2017,1038172 - 0,1005.31,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
Transformation,Temporary Bureau Staffing,A0108,19/04/2017,46293414 - 12,14422.82,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Transformation,Temporary Bureau Staffing,A0108,16/05/2017,46293675 - 3,6249.55,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Transformation,Temporary Bureau Staffing,A0108,13/06/2017,46294016 - 12,15364.19,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
Business Improvement,Consultants Fees,D3411,04/04/2017,1033628 - 0,5000,Revenue,20013463,IDOX SOFTWARE LTD
Business Improvement,Software Maintenance/Running Costs,D3513,11/04/2017,1035372 - 1,784,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,Software Maintenance/Running Costs,D3513,11/04/2017,1035883 - 0,5640,Revenue,20017717,WORKBOOKS ONLINE LTD
Business Improvement,Servitor,D3508,04/04/2017,1035887 - 0,85133.38,Revenue,20010153,CIVICA UK LTD
Business Improvement,Hospitality,D3803,04/04/2017,1036037 - 0,561.5,Revenue,20017971,A & J CATERING (OXFORDSHIRE) LTD
Business Improvement,General Contracted Services,D3401,11/04/2017,1036067 - 0,1300,Revenue,20011589,CAPITA BUSINESS SERVICES LTD
Business Improvement,Hardware Purchase,D3520,11/04/2017,1036089 - 0,370,Revenue,20015962,HANDS FREE COMPUTING LTD
Business Improvement,Software Purchase,D3511,11/04/2017,1036089 - 1,334.95,Revenue,20015962,HANDS FREE COMPUTING LTD
Business Improvement,External Telephone Charges,D3503,11/04/2017,1036112 - 1,1774.39,Revenue,20016411,"""JOHNNIE"" JOHNSON HOUSING TRUST"
Business Improvement,Main Contractor,Y021,11/04/2017,1036152 - 0,8100,Capital,20019354,INTEGRA ASSOCIATES
Business Improvement,Main Contractor,Y021,11/04/2017,1036152 - 1,-900,Capital,20019354,INTEGRA ASSOCIATES
Business Improvement,Hardware Purchase,D3520,19/04/2017,1036176 - 0,1079,Revenue,20002302,MISCO
Business Improvement,Consultants Fees,D3411,04/04/2017,1036178 - 1,10575,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Business Improvement,Consultants Fees,D3411,04/04/2017,1036179 - 1,2750,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Business Improvement,Consultants Fees,D3411,04/04/2017,1036184 - 1,3300,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Business Improvement,Police Checks,D3429,04/04/2017,1036187 - 0,492.5,Revenue,20010933,KENT COUNTY COUNCIL
Business Improvement,Travel Scheme Discount,C2505,04/04/2017,1036193 - 1,907.4,Revenue,20006596,OXFORD BUS COMPANY LTD
Business Improvement,Software Maintenance/Running Costs,D3513,19/04/2017,1036289 - 0,2105,Revenue,20017849,NETCALL TELECOM LTD
Business Improvement,Software Maintenance/Running Costs,D3513,19/04/2017,1036299 - 0,2018.92,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Corporate Development Programme,A0631,04/04/2017,1036305 - 0,800,Revenue,20003025,PETE RUSSELL
Business Improvement,Software Maintenance/Running Costs,D3513,19/04/2017,1036328 - 0,1115,Revenue,20017849,NETCALL TELECOM LTD
Business Improvement,Software Maintenance/Running Costs,D3513,19/04/2017,1036346 - 0,6573.13,Revenue,20007877,COMPUTACENTER (UK) LTD
Business Improvement,Software Maintenance/Running Costs,D3513,19/04/2017,1036347 - 0,26534,Revenue,20008475,ESRI (UK) LTD
Business Improvement,Temporary Bureau Staffing,A0108,04/04/2017,1036351 - 0,4375,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Main Contractor,Y021,25/04/2017,1036352 - 0,5400,Capital,20018839,JADU LTD
Business Improvement,Temporary Bureau Staffing,A0108,04/04/2017,1036353 - 0,20125,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Software Maintenance/Running Costs,D3513,04/04/2017,1036355 - 1,525.82,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Staff Advertising,A0702,04/04/2017,1036391 - 0,1295,Revenue,20019180,UBM (UK) Ltd
Business Improvement,Compliance Training (H&S),A0630,25/04/2017,1036398 - 0,737.91,Revenue,20018748,OPTUM HEALTH SOLUTIONS (UK) LTD
Business Improvement,Temporary Bureau Staffing,A0108,25/04/2017,1036405 - 0,5000,Revenue,20006509,SOCITM LIMITED
Business Improvement,Consultants Fees,D3411,04/04/2017,1036409 - 0,1680,Revenue,20018873,ISCAPE SOLUTIONS
Business Improvement,External Telephone Charges,D3503,04/04/2017,1036411 - 1,750,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Business Improvement,External Telephone Charges,D3503,04/04/2017,1036411 - 2,50,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Business Improvement,Hardware Purchase,D3520,04/04/2017,1036412 - 0,1800,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,General Contracted Services,D3401,04/04/2017,1036414 - 0,22800,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,General Contracted Services,D3401,04/04/2017,1036416 - 0,45601.63,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,General Contracted Services,D3401,04/04/2017,1036417 - 0,45601.03,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Temporary Bureau Staffing,A0108,04/04/2017,1036418 - 0,12687.5,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,General Contracted Services,D3401,04/04/2017,1036451 - 0,97794.75,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,CRM Database,D3514,25/04/2017,1036464 - 0,51807,Revenue,20014697,KANA SOFTWARE IRELAND LTD
Business Improvement,Temporary Bureau Staffing,A0108,25/04/2017,1036478 - 0,2187.5,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Furniture & Equipment Purchase,D3001,11/04/2017,1036500 - 0,594.7,Revenue,20009620,POSTURITE LTD
Business Improvement,Software Maintenance/Running Costs,D3513,25/04/2017,1036522 - 0,3625,Revenue,20018060,R & A SOFTWARE SYSTEMS T/A RA INFORM SYSTEMS
Business Improvement,Furniture & Equipment Purchase,D3001,25/04/2017,1036534 - 0,1650,Revenue,20015868,RISKEX LIMITED
Business Improvement,Software Maintenance/Running Costs,D3513,11/04/2017,1036536 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
Business Improvement,Software Maintenance/Running Costs,D3513,03/05/2017,1036558 - 0,8010,Revenue,20016668,MODERN MINDSET LTD
Business Improvement,Main Contractor,Y021,03/05/2017,1036612 - 1,1800,Capital,20019354,INTEGRA ASSOCIATES
Business Improvement,General Stationery Supplies,D3301,25/04/2017,1036626 - 0,1916.86,Revenue,20007849,LYRECO UK LTD
Business Improvement,Postage & Carriage,D3501,11/04/2017,1036638 - 1,2499.8,Revenue,20016588,VODAFONE LTD
Business Improvement,Consultants Fees,D3411,11/04/2017,1036669 - 0,4845,Revenue,20018456,FIRST LINE TELECOMS LTD
Business Improvement,Advertising & Publicity,D3802,03/05/2017,1036675 - 0,460,Revenue,20018976,SILK GROUP LTD
Business Improvement,Network Rental,D3531,11/04/2017,1036685 - 1,4716.67,Revenue,20016588,VODAFONE LTD
Business Improvement,Stamp Duty & Other Legal Fees,D3415,25/04/2017,1036715 - 0,597,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Business Improvement,Contract Printing (External),D3303,03/05/2017,1036740 - 0,1166,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Business Improvement,Corporate Development Programme,A0631,09/05/2017,1036742 - 0,3500,Revenue,20019479,DAISY BOGG CONSULTANCY LTD
Business Improvement,Software Maintenance/Running Costs,D3513,03/05/2017,1036772 - 0,775.36,Revenue,20003193,ORDNANCE SURVEY
Business Improvement,Software Maintenance/Running Costs,D3513,03/05/2017,1036778 - 0,35000,Revenue,20011589,CAPITA BUSINESS SERVICES LTD
Business Improvement,Software Purchase,D3511,03/05/2017,1036778 - 1,22835,Revenue,20011589,CAPITA BUSINESS SERVICES LTD
Business Improvement,Consultants Fees,D3411,03/05/2017,1036778 - 2,10631,Revenue,20011589,CAPITA BUSINESS SERVICES LTD
Business Improvement,Software Maintenance/Running Costs,D3513,25/04/2017,1036793 - 0,1300,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Network Rental,D3531,25/04/2017,1036804 - 1,4716.67,Revenue,20016588,VODAFONE LTD
Business Improvement,Consultants Fees,D3411,19/04/2017,1036817 - 0,950,Revenue,20013463,IDOX SOFTWARE LTD
Business Improvement,Consultants Fees,D3411,19/04/2017,1036818 - 0,950,Revenue,20013463,IDOX SOFTWARE LTD
Business Improvement,Consultants Fees,D3411,19/04/2017,1036820 - 0,950,Revenue,20013463,IDOX SOFTWARE LTD
Business Improvement,Short Courses,A0622,09/05/2017,1036839 - 0,1250,Revenue,20018972,MAYBO LTD
Business Improvement,Software Maintenance/Running Costs,D3513,25/04/2017,1036853 - 0,2650,Revenue,20019354,INTEGRA ASSOCIATES
Business Improvement,External Telephone Charges,D3503,03/05/2017,1036863 - 1,26006.68,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,Management Development,A0637,25/04/2017,1036897 - 0,610,Revenue,20017664,GREENBANK LTD
Business Improvement,General Contracted Services,D3401,23/05/2017,1036920 - 0,3700.5,Revenue,20019405,ROCKSURE SYSTEMS LTD
Business Improvement,Furniture & Equipment Purchase,D3001,16/05/2017,1036943 - 0,602.69,Revenue,20009620,POSTURITE LTD
Business Improvement,General Contracted Services,D3401,03/05/2017,1036947 - 0,1007.5,Revenue,20011523,HERALD CHASE
Business Improvement,Hardware Rental,D3521,03/05/2017,1036972 - 0,654.92,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
Business Improvement,Subscriptions,D3703,16/05/2017,1036987 - 0,1701,Revenue,20019410,CITY & GUILDS ILM
Business Improvement,Contract Printing (External),D3303,09/05/2017,1036993 - 0,619.52,Revenue,20019101,CRITIQOM LTD
Business Improvement,Software Maintenance/Running Costs,D3513,03/05/2017,1037018 - 0,12508.07,Revenue,20013927,XPRESS SOFTWARE SOLUTIONS LTD
Business Improvement,Software Maintenance/Running Costs,D3513,16/05/2017,1037021 - 0,505.57,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Travel Scheme Discount,C2505,03/05/2017,1037059 - 1,1496.7,Revenue,20006596,OXFORD BUS COMPANY LTD
Business Improvement,Software Purchase,D3511,09/05/2017,1037073 - 0,2085.88,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
Business Improvement,Software Maintenance/Running Costs,D3513,03/05/2017,1037079 - 1,784,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,Contract Printing (External),D3303,03/05/2017,1037085 - 0,5385,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Business Improvement,Software Maintenance/Running Costs,D3513,09/05/2017,1037115 - 0,13200,Revenue,20018810,INTEC FOR BUSINESS LTD
Business Improvement,Main Contractor,Y021,23/05/2017,1037134 - 0,151921.12,Capital,20019420,KENT COUNTY SUPPLIES
Business Improvement,Temporary Bureau Staffing,A0108,23/05/2017,1037146 - 0,3600,Revenue,20006509,SOCITM LIMITED
Business Improvement,Software Maintenance/Running Costs,D3513,31/05/2017,1037156 - 0,6780,Revenue,20019212,XN LEISURE SYSTEMS LTD
Business Improvement,Software Maintenance/Running Costs,D3513,09/05/2017,1037157 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
Business Improvement,External Telephone Charges,D3503,16/05/2017,1037166 - 1,1848.27,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,Software Maintenance/Running Costs,D3513,23/05/2017,1037206 - 0,950,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Postage & Carriage,D3501,16/05/2017,1037222 - 0,481.78,Revenue,20019101,CRITIQOM LTD
Business Improvement,Postage & Carriage,D3501,09/05/2017,1037224 - 0,3680.86,Revenue,20019101,CRITIQOM LTD
Business Improvement,Postage & Carriage,D3501,09/05/2017,1037225 - 0,1520.52,Revenue,20019101,CRITIQOM LTD
Business Improvement,General Contracted Services,D3401,23/05/2017,1037228 - 0,1600,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Photocopying/Paper Supplies,D3306,23/05/2017,1037246 - 0,5437.11,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
Business Improvement,Network Rental,D3531,16/05/2017,1037263 - 1,4716.67,Revenue,20016588,VODAFONE LTD
Business Improvement,Software Maintenance/Running Costs,D3513,31/05/2017,1037293 - 0,2300,Revenue,20019354,INTEGRA ASSOCIATES
Business Improvement,Software Purchase,D3511,31/05/2017,1037304 - 0,7081.65,Revenue,20011589,CAPITA BUSINESS SERVICES LTD
Business Improvement,General Stationery Supplies,D3301,31/05/2017,1037386 - 0,1648.21,Revenue,20007849,LYRECO UK LTD
Business Improvement,Hardware Rental,D3521,16/05/2017,1037387 - 0,919.85,Revenue,20008022,NEOPOST FINANCE LIMITED
Business Improvement,Hardware Purchase,D3520,06/06/2017,1037403 - 0,14000,Revenue,20019579,F15 TECHNOLOGY LTD T/A 4NETWORKS.CO.UK
Business Improvement,Postage & Carriage,D3501,23/05/2017,1037419 - 0,727.72,Revenue,20019101,CRITIQOM LTD
Business Improvement,Software Maintenance/Running Costs,D3513,06/06/2017,1037456 - 0,38205,Revenue,20017849,NETCALL TELECOM LTD
Business Improvement,Software Maintenance/Running Costs,D3513,23/05/2017,1037474 - 0,5500,Revenue,20018517,TMI SYSTEMS LIMITED
Business Improvement,Staff Advertising,A0702,23/05/2017,1037504 - 0,1100,Revenue,20009528,HAYMARKET MEDIA GROUP
Business Improvement,Postage & Carriage,D3501,31/05/2017,1037517 - 0,707.31,Revenue,20019101,CRITIQOM LTD
Business Improvement,Short Courses,A0622,23/05/2017,1037524 - 0,2400,Revenue,20019565,ACTIVATE ENTERPRISE
Business Improvement,External Telephone Charges,D3503,23/05/2017,1037549 - 1,728.57,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Business Improvement,Software Maintenance/Running Costs,D3513,13/06/2017,1037572 - 0,7590,Revenue,20013113,CADLINE LTD
Business Improvement,Consultants Fees,D3411,23/05/2017,1037605 - 0,5012.5,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
Business Improvement,Contract Printing (External),D3303,23/05/2017,1037609 - 0,1520.11,Revenue,20019101,CRITIQOM LTD
Business Improvement,Online Services,D3510,06/06/2017,1037620 - 0,1220,Revenue,20009660,EXPERIAN LTD
Business Improvement,Hospitality,D3803,13/06/2017,1037626 - 0,3484.6,Revenue,20017971,A & J CATERING (OXFORDSHIRE) LTD
Business Improvement,Software Maintenance/Running Costs,D3513,13/06/2017,1037629 - 0,5172,Revenue,20009966,EXEGESIS SDM LTD
Business Improvement,Short Courses,A0622,31/05/2017,1037630 - 0,805.5,Revenue,20009620,POSTURITE LTD
Business Improvement,Hardware Purchase,D3520,13/06/2017,1037632 - 0,5816,Revenue,20019579,F15 TECHNOLOGY LTD T/A 4NETWORKS.CO.UK
Business Improvement,Contract Printing (External),D3303,13/06/2017,1037637 - 0,3943,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
Business Improvement,Hardware Rental,D3521,06/06/2017,1037660 - 0,1005.11,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
Business Improvement,Hardware Rental,D3521,06/06/2017,1037661 - 0,2964.55,Revenue,20018722,SHARP BUSINESS SYSTEMS UK PLC
Business Improvement,Subscriptions,D3703,13/06/2017,1037672 - 0,2362.5,Revenue,20010691,REED BUSINESS INFORMATION LTD
Business Improvement,Subscriptions,D3703,13/06/2017,1037672 - 1,2362.5,Revenue,20010691,REED BUSINESS INFORMATION LTD
Business Improvement,IT Skills Development,A0638,13/06/2017,1037681 - 0,2500,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,31/05/2017,1037694 - 0,35600,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Business Improvement,IT Skills Development,A0638,06/06/2017,1037712 - 0,1350,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
Business Improvement,Postage & Carriage,D3501,06/06/2017,1037718 - 0,754.79,Revenue,20019101,CRITIQOM LTD
Business Improvement,Software Maintenance/Running Costs,D3513,20/06/2017,1037723 - 0,749.93,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
Business Improvement,Furniture & Equipment Purchase,D3001,31/05/2017,1037730 - 0,602.69,Revenue,20009620,POSTURITE LTD
Business Improvement,Short Courses,A0622,31/05/2017,1037732 - 0,2174.97,Revenue,20019520,JTL TRAINING
Business Improvement,Postage & Carriage,D3501,13/06/2017,1037760 - 0,645.68,Revenue,20019101,CRITIQOM LTD
Business Improvement,Software Maintenance/Running Costs,D3513,20/06/2017,1037772 - 0,925.65,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,20/06/2017,1037773 - 0,514.25,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,20/06/2017,1037774 - 1,5656.75,Revenue,20007875,MIDLAND HR
Business Improvement,Software Maintenance/Running Costs,D3513,20/06/2017,1037775 - 1,8963.61,Revenue,20007875,MIDLAND HR
Business Improvement,External Telephone Charges,D3503,06/06/2017,1037806 - 1,711.89,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
Business Improvement,Travel Scheme Discount,C2505,06/06/2017,1037818 - 1,1619,Revenue,20006596,OXFORD BUS COMPANY LTD
Business Improvement,Software Maintenance/Running Costs,D3513,06/06/2017,1037819 - 1,784,Revenue,20006940,BT GLOBAL SERVIES
Business Improvement,Software Maintenance/Running Costs,D3513,06/06/2017,1037856 - 0,6150,Revenue,20015282,INOVEM LTD
Business Improvement,Consultants Fees,D3411,06/06/2017,1037857 - 0,5492.5,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
Business Improvement,Software Maintenance/Running Costs,D3513,13/06/2017,1037885 - 0,8900,Revenue,20008268,UNIT 4 BUSINESS SOFTWARE LTD.
Business Improvement,General Contracted Services,D3401,27/06/2017,1037917 - 0,1900,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,General Contracted Services,D3401,27/06/2017,1037918 - 1,48985.15,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,General Contracted Services,D3401,27/06/2017,1037919 - 0,4800,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
Business Improvement,Conferences/Seminars,A0636,27/06/2017,1037928 - 0,2794.1,Revenue,20019577,MACNAUGHTON MCGREGOR LTD
Business Improvement,Software Maintenance/Running Costs,D3513,09/06/2017,1037936 - 0,6410,Revenue,20015657,DUE NORTH LIMITED
Business Improvement,Hardware Purchase,D3520,27/06/2017,1037972 - 0,576,Revenue,20019579,F15 TECHNOLOGY LTD T/A 4NETWORKS.CO.UK
Business Improvement,Software Maintenance/Running Costs,D3513,27/06/2017,1037980 - 0,2000,Revenue,20011511,DATASTOX LIMITED
Business Improvement,General Stationery Supplies,D3301,27/06/2017,1037984 - 0,1307.95,Revenue,20007849,LYRECO UK LTD
Business Improvement,Software Maintenance/Running Costs,D3513,13/06/2017,1037985 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
Business Improvement,Temporary Bureau Staffing,A0108,27/06/2017,1037988 - 0,1400,Revenue,20006509,SOCITM LIMITED
Business Improvement,Contract Printing (External),D3303,27/06/2017,1038052 - 0,937.6,Revenue,20019101,CRITIQOM LTD
Business Improvement,Postage & Carriage,D3501,27/06/2017,1038056 - 0,786.53,Revenue,20019101,CRITIQOM LTD
Business Improvement,Network Rental,D3531,20/06/2017,1038065 - 1,4716.67,Revenue,20016588,VODAFONE LTD
