Body Name,Organisational Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name 
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,01/07/2014,46282285_1,825,Revenue,20000010_46282285,Lansborough Lettings
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,01/07/2014,46282285_2,1237.5,Revenue,20000010_46282285,Lansborough Lettings
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,01/07/2014,46282285_3,300,Revenue,20000010_46282285,Lansborough Lettings
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,01/07/2014,46282292_1,890.4,Revenue,20000010_46282292,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,01/07/2014,46282292_2,900,Revenue,20000010_46282292,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/07/2014,46282299_1,900,Revenue,20000010_46282299,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/07/2014,46282299_2,132,Revenue,20000010_46282299,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/07/2014,46282361_1,900,Revenue,20000010_46282361,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,08/07/2014,46282391_1,500,Revenue,20000010_46282391,Redacted personal data
Oxford City Council,Housing and Property,Rent,B1701,08/07/2014,46282393_1,1042.5,Revenue,20000010_46282393,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,15/07/2014,46282426_1,726.88,Revenue,20000010_46282426,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/07/2014,46282436_1,800,Revenue,20000010_46282436,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/07/2014,46282437_1,890.4,Revenue,20000010_46282437,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/07/2014,46282464_1,1000,Revenue,20000010_46282464,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/07/2014,46282465_1,1094,Revenue,20000010_46282465,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/07/2014,46282470_1,1315.39,Revenue,20000010_46282470,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,22/07/2014,46282520_1,1000,Revenue,20000010_46282520,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/07/2014,46282552_1,783,Revenue,20000010_46282552,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/07/2014,46282557_1,1050,Revenue,20000010_46282557,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/07/2014,46282557_2,2100,Revenue,20000010_46282557,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/07/2014,46282565_1,895,Revenue,20000010_46282565,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/07/2014,46282565_2,415.2,Revenue,20000010_46282565,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,22/07/2014,46282568_1,695,Revenue,20000010_46282568,Oxfordshire Estates
Oxford City Council,HRA,Special Events,D3807,29/07/2014,46282581_1,1686.01,Revenue,20000010_46282581,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,29/07/2014,46282585_1,651.44,Revenue,20000010_46282585,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/07/2014,46282603_1,3444,Revenue,20000010_46282603,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/07/2014,46282624_1,150,Revenue,20000010_46282624,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/07/2014,46282624_2,420,Revenue,20000010_46282624,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/07/2014,46282624_3,855,Revenue,20000010_46282624,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/07/2014,46282624_4,950,Revenue,20000010_46282624,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/07/2014,46282633_1,900,Revenue,20000010_46282633,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/07/2014,46282633_2,525,Revenue,20000010_46282633,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/07/2014,46282633_3,525,Revenue,20000010_46282633,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,05/08/2014,46282663_1,1350,Revenue,20000010_46282663,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282711_1,2200,Revenue,20000010_46282711,ANDREWS LETTINGS & MANAGEMENT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282712_1,1100,Revenue,20000010_46282712,ANDREWS LETTINGS & MANAGEMENT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282713_1,1074.25,Revenue,20000010_46282713,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282729_1,787.7,Revenue,20000010_46282729,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282730_1,2850,Revenue,20000010_46282730,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282731_1,1275,Revenue,20000010_46282731,Redacted personal data
Oxford City Council,Direct Services,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282734_1,1722,Revenue,20000010_46282734,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282735_1,900,Revenue,20000010_46282735,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/08/2014,46282736_1,1190.4,Revenue,20000010_46282736,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,12/08/2014,46282747_1,500,Revenue,20000010_46282747,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/08/2014,46282811_1,1312.5,Revenue,20000010_46282811,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/08/2014,46282820_1,1490.4,Revenue,20000010_46282820,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,27/08/2014,46282863_1,854.48,Revenue,20000010_46282863,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/08/2014,46282870_1,1387.5,Revenue,20000010_46282870,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/08/2014,46282870_2,925,Revenue,20000010_46282870,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/08/2014,46282870_3,429,Revenue,20000010_46282870,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/08/2014,46282873_1,590.4,Revenue,20000010_46282873,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheque For Single Persons,F5032,27/08/2014,46282886_1,605.76,Revenue,20000010_46282886,Housing 21
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/08/2014,46282887_1,825.8,Revenue,20000010_46282887,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/08/2014,46282888_1,900,Revenue,20000010_46282888,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/09/2014,46282914_1,1490.4,Revenue,20000010_46282914,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/09/2014,46282935_1,495,Revenue,20000010_46282935,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/09/2014,46282935_2,495,Revenue,20000010_46282935,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/09/2014,46282935_3,699.88,Revenue,20000010_46282935,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/09/2014,46282935_4,240,Revenue,20000010_46282935,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,02/09/2014,46282936_1,1785,Revenue,20000010_46282936,Peter Ball & Co.
Oxford City Council,Housing and Property,Homeless Prevention,D3426,02/09/2014,46282936_2,98,Revenue,20000010_46282936,Peter Ball & Co.
Oxford City Council,Housing and Property,Homeless Prevention,D3426,02/09/2014,46282938_1,1440,Revenue,20000010_46282938,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,02/09/2014,46282938_2,134,Revenue,20000010_46282938,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,02/09/2014,46282940_1,545,Revenue,20000010_46282940,CHALK HILLS LETTINGS
Oxford City Council,HRA,Special Events,D3807,02/09/2014,46282952_1,896.64,Revenue,20000010_46282952,Redacted personal data
Oxford City Council,Direct Services,Compensation,D3805,02/09/2014,46282954_1,1000,Revenue,20000010_46282954,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/09/2014,46282959_1,1425,Revenue,20000010_46282959,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/09/2014,46282959_2,950,Revenue,20000010_46282959,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/09/2014,46282962_1,825.8,Revenue,20000010_46282962,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/09/2014,46282962_2,900,Revenue,20000010_46282962,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/09/2014,46282966_1,1190.4,Revenue,20000010_46282966,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/09/2014,46282967_1,1190.4,Revenue,20000010_46282967,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/09/2014,46282980_1,588,Revenue,20000010_46282980,Cherwell Property Services Ltd. 
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283014_1,1190.4,Revenue,20000010_46283014,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283015_1,1000,Revenue,20000010_46283015,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283015_2,144,Revenue,20000010_46283015,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283015_3,500,Revenue,20000010_46283015,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283086_1,1387.5,Revenue,20000010_46283086,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283086_2,320,Revenue,20000010_46283086,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283086_3,925,Revenue,20000010_46283086,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283087_1,340,Revenue,20000010_46283087,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283087_2,965,Revenue,20000010_46283087,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/09/2014,46283088_1,500,Revenue,20000010_46283088,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,16/09/2014,46283100_1,500,Revenue,20000010_46283100,Redacted personal data
Oxford City Council,Housing and Property,Homeless Prevention,D3426,23/09/2014,46283166_1,625,Revenue,20000010_46283166,HMT Property Management
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/09/2014,46283232_1,750,Revenue,20000010_46283232,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/09/2014,46283237_1,590.4,Revenue,20000010_46283237,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/09/2014,46283275_1,744,Revenue,20000010_46283275,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/09/2014,46283276_1,900,Revenue,20000010_46283276,Redacted personal data
Oxford City Council,Housing and Property,Social Lettings Agency,D3606,30/09/2014,46283282_1,1800,Revenue,20000010_46283282,Ethical Lettings CIC
Oxford City Council,Housing and Property,Homeless Prevention,D3426,30/09/2014,46283290_1,707.68,Revenue,20000010_46283290,Ace Property Services
Oxford City Council,Housing and Property,Homeless Prevention,D3426,29/07/2014,46282579_1,1650,Revenue,20000018_46282579,Johnsons
Oxford City Council,Housing and Property,Homeless Prevention,D3426,02/09/2014,46282948_1,550,Revenue,20000018_46282948,McFarlane Sales & Lettings
Oxford City Council,Housing and Property,Homeless Prevention,D3426,02/09/2014,46282955_1,607.68,Revenue,20000018_46282955,ACE PROPERTY SERVICES
Oxford City Council,Housing and Property,Homeless Prevention,D3426,02/09/2014,46282955_2,100,Revenue,20000018_46282955,ACE PROPERTY SERVICES
Oxford City Council,"Leisure, Parks & Communities",Instructors & Coaching Fees,D3413,01/07/2014,46282263_1,5278,Revenue,20000019_46282263,Oxford RL
Oxford City Council,City Development,Grants,D3701,22/07/2014,46282521_1,1817,Revenue,20000019_46282521,Redacted personal data
Oxford City Council,"Leisure, Parks & Communities",Instructors & Coaching Fees,D3413,05/08/2014,46282664_1,532.23,Revenue,20000019_46282664,ROZ MCKENZIE
Oxford City Council,Environmental Development,General Contracted Services,D3401,19/08/2014,46282833_1,500,Revenue,20000019_46282833,LIFELINE PROJECT
Oxford City Council,Environmental Development,General Contracted Services,D3401,19/08/2014,46282835_1,500,Revenue,20000019_46282835,THE SURVIVORS TRUST
Oxford City Council,Environmental Development,General Contracted Services,D3401,19/08/2014,46282836_1,500,Revenue,20000019_46282836,THE DASH CHARITY
Oxford City Council,Environmental Development,General Contracted Services,D3401,27/08/2014,46282859_1,500,Revenue,20000019_46282859,Aylesbury Women's Aid
Oxford City Council,Environmental Development,General Contracted Services,D3401,16/09/2014,46283044_1,500,Revenue,20000019_46283044,OASIS
Oxford City Council,"Leisure, Parks & Communities",Contributions,D3702,16/09/2014,46283136_1,500,Revenue,20000019_46283136,Our Community Time Bank
Oxford City Council,Business Improvement & Technology,Temporary Bureau Staffing,A0108,05/08/2014,1007935_1,4070.85,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Commission/Discount,K9472,22/07/2014,46282519_1,-1115.63,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Temporary Bureau Staffing,A0108,22/07/2014,46282519_10,5359.64,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Temporary Bureau Staffing,A0108,22/07/2014,46282519_11,8357.48,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,22/07/2014,46282519_12,2123.73,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,22/07/2014,46282519_13,4121.57,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,22/07/2014,46282519_14,7920,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_15,1701.51,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_16,2360,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_17,15243.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_18,1262.05,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,22/07/2014,46282519_19,5197.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Holding Accounts & Other Funds,Difference A/c,Z910198,22/07/2014,46282519_2,-0.01,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,22/07/2014,46282519_20,923,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_21,2022.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_22,9205.78,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_23,8266.6,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_24,17212.33,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_25,2434.02,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_26,2532.27,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,22/07/2014,46282519_27,58.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,22/07/2014,46282519_28,5880,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,22/07/2014,46282519_29,1906.6,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,"Leisure, Parks & Communities",Temporary Bureau Staffing,A0108,22/07/2014,46282519_3,1568.64,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,"Policy, Culture and Communication",Main Contractor,Y021,22/07/2014,46282519_30,2448.3,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_31,5593.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_32,1788.94,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_33,9200,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,"Leisure, Parks & Communities",Temporary Bureau Staffing,A0108,22/07/2014,46282519_34,6174.06,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Law and Governance,Temporary Bureau Staffing,A0108,22/07/2014,46282519_35,1250.83,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,"Leisure, Parks & Communities",Temporary Bureau Staffing,A0108,22/07/2014,46282519_36,174.08,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,"Policy, Culture and Communication",Temporary Bureau Staffing,A0108,22/07/2014,46282519_37,3374.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,22/07/2014,46282519_38,9887.07,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,22/07/2014,46282519_39,2612.15,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Human Resources & Facilities,Temporary Bureau Staffing,A0108,22/07/2014,46282519_4,4761.2,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,22/07/2014,46282519_40,8781.23,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_41,1504.92,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_42,514.01,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_43,1542.05,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_44,1776.18,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_45,1806.82,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_46,3949.47,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_47,19880.57,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_48,2798.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_49,2247.97,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Regeneration and Major Projects Team,Temporary Bureau Staffing,A0108,22/07/2014,46282519_5,3441,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_50,3422.27,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_51,8016.7,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/07/2014,46282519_52,1520.12,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Regeneration and Major Projects Team,Temporary Bureau Staffing,A0108,22/07/2014,46282519_6,5054.94,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,22/07/2014,46282519_7,1837.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,22/07/2014,46282519_8,3133.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Temporary Bureau Staffing,A0108,22/07/2014,46282519_9,4439,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Commission/Discount,K9472,12/08/2014,46282791_1,-1370.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Temporary Bureau Staffing,A0108,12/08/2014,46282791_10,5368.73,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement & Technology,Temporary Bureau Staffing,A0108,12/08/2014,46282791_11,10181.94,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,12/08/2014,46282791_12,2899.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,12/08/2014,46282791_13,4358.67,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Finance,Temporary Bureau Staffing,A0108,12/08/2014,46282791_14,5931.21,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,12/08/2014,46282791_15,1454.12,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,12/08/2014,46282791_16,1091.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Customer Services,Temporary Bureau Staffing,A0108,12/08/2014,46282791_17,15824.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,12/08/2014,46282791_18,6930,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,12/08/2014,46282791_19,1934.32,Revenue,20000200,CHAMPION EMPLOYMENT LTD
