body_name,organisational_unit,expenditure_category,expenditure_code,paid_date,trans_no,amount,caporrev,supplier_id,supplier_name
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288996_3,834.08,Revenue,20000010_46288996,Admiral Homes
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288997_1,132.00,Revenue,20000010_46288997,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288997_2,900.00,Revenue,20000010_46288997,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/03/2016,46289031_1,902.42,Revenue,20000010_46289031,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/03/2016,46289032_1,598.16,Revenue,20000010_46289032,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/03/2016,46289033_1,1091.04,Revenue,20000010_46289033,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,15/03/2016,46289090_1,950.80,Revenue,20000010_46289090,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/03/2016,46289095_1,546.00,Revenue,20000010_46289095,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/03/2016,46289096_1,549.00,Revenue,20000010_46289096,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/03/2016,46289164_1,1500.00,Revenue,20000010_46289164,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/03/2016,46289212_1,792.00,Revenue,20000010_46289212,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,22/03/2016,46289214_1,2954.94,Revenue,20000010_46289214,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/03/2016,46289221_1,616.38,Revenue,20000010_46289221,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/03/2016,46289270_1,821.84,Revenue,20000010_46289270,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/03/2016,46289271_1,1091.04,Revenue,20000010_46289271,Redacted personal details
Oxford City Council,Housing and Property,Homeless Prevention,D3426,12/01/2016,46288452_1,550.00,Revenue,20000018_46288452,Redacted personal details
Oxford City Council,Housing and Property,Homeless Prevention,D3426,29/01/2016,46288596_1,575.00,Revenue,20000018_46288596,Rhodes & Sons
Oxford City Council,Housing and Property,Homeless Prevention,D3426,29/01/2016,46288597_1,121.00,Revenue,20000018_46288597,Redacted personal details
Oxford City Council,Housing and Property,Homeless Prevention,D3426,29/01/2016,46288597_2,834.00,Revenue,20000018_46288597,Redacted personal details
Oxford City Council,Housing and Property,Homeless Prevention,D3426,29/01/2016,46288598_1,555.00,Revenue,20000018_46288598,Home Experts Worcester
Oxford City Council,Housing and Property,Homeless Prevention,D3426,09/02/2016,46288685_1,834.00,Revenue,20000018_46288685,Redacted personal details
Oxford City Council,Housing and Property,Homeless Prevention,D3426,16/02/2016,46288758_1,1313.00,Revenue,20000018_46288758,Property Genie Services Ltd. 
Oxford City Council,Housing and Property,Homeless Prevention,D3426,08/03/2016,46288914_1,625.00,Revenue,20000018_46288914,Surelet Cheltenham
Oxford City Council,Housing and Property,Homeless Prevention,D3426,15/03/2016,46289040_1,625.00,Revenue,20000018_46289040,Surelet Cheltenham
Oxford City Council,Housing and Property,Other Miscellaneous Expenses,D3811,22/03/2016,46289223_1,1000.00,Revenue,20000018_46289223,Grants Property Management
Oxford City Council,Housing and Property,Homeless Prevention,D3426,29/03/2016,46289272_1,555.00,Revenue,20000018_46289272,HOME XPERTS LETTING
Oxford City Council,Community Services,Instructors & Coaching Fees,D3413,19/01/2016,46288521_1,1800.00,Revenue,20000019_46288521,Henley Golf Club
Oxford City Council,Community Services,Grants,D3701,16/02/2016,46288748_1,1000.00,Revenue,20000019_46288748,JUSTICE IN MOTION
Oxford City Council,Community Services,Grants,D3701,16/02/2016,46288749_1,1000.00,Revenue,20000019_46288749,JUSTICE IN MOTION
Oxford City Council,Community Services,Contributions,D3702,16/02/2016,46288751_1,1500.00,Revenue,20000019_46288751,LONGLANDS WELFARE
Oxford City Council,Direct Services,Hire Of Premises/Temp Accom,B1820,16/02/2016,46288753_1,886.34,Revenue,20000019_46288753,BARRACKS LANE ALLOTMENTS
Oxford City Council,Community Services,General Contracted Services,D3401,23/02/2016,46288800_1,1500.00,Revenue,20000019_46288800,SAFE! SUPPORTING YOUNG VICTIMS
Oxford City Council,Community Services,General Contracted Services,D3401,23/02/2016,46288831_1,4948.00,Revenue,20000019_46288831,OXFORD WELLBEING PROJECT
Oxford City Council,Community Services,Grants,D3701,08/03/2016,46288943_1,1500.00,Revenue,20000019_46288943,Inspired Young People
Oxford City Council,Community Services,Grants,D3701,15/03/2016,46289072_1,500.00,Revenue,20000019_46289072,Joelle Pappas Projects
Oxford City Council,Community Services,Contributions,D3702,22/03/2016,46289169_1,500.00,Revenue,20000019_46289169,Oxford Homeless Project
Oxford City Council,Community Services,Contributions,D3702,22/03/2016,46289171_1,500.00,Revenue,20000019_46289171,Oxford CircularCollective
Oxford City Council,Community Services,Contributions,D3702,22/03/2016,46289175_1,500.00,Revenue,20000019_46289175,PCC of Littlemore
Oxford City Council,Community Services,Grants,D3701,22/03/2016,46289225_1,1000.00,Revenue,20000019_46289225,Oxford Youth Choirs
Oxford City Council,Community Services,Contributions,D3702,29/03/2016,46289255_1,500.00,Revenue,20000019_46289255,LONGLANDS WELFARE FUND
Oxford City Council,Assistant Chief Executive,Grants,D3701,29/03/2016,46289279_1,4400.00,Revenue,20000019_46289279,CHENEY SCHOOL ACADEMY TRUST
Oxford City Council,Assistant Chief Executive,Grants,D3701,29/03/2016,46289280_1,4400.00,Revenue,20000019_46289280,OXFORD ACADEMY TRUST
Oxford City Council,Assistant Chief Executive,Grants,D3701,29/03/2016,46289281_1,3800.00,Revenue,20000019_46289281,CFBTSCHLSTRST - CHRITY OXFRD SPRS ACDMY
Oxford City Council,Business Improvement,Staff Advertising,A0702,26/01/2016,1025176_1,4746.37,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_1,923.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/01/2016,46288476_10,3683.01,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Sustainability,Temporary Bureau Staffing,A0108,19/01/2016,46288476_11,3176.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/01/2016,46288476_12,1928.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/01/2016,46288476_13,4833.42,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_14,1903.86,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_15,1367.99,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,19/01/2016,46288476_16,1823.72,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/01/2016,46288476_17,2083.73,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/01/2016,46288476_18,5382.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,19/01/2016,46288476_19,4209.07,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_2,1922.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_20,903.93,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_21,284.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,19/01/2016,46288476_22,979.69,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,19/01/2016,46288476_23,1798.75,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,19/01/2016,46288476_24,5040.00,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,19/01/2016,46288476_25,5012.93,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_26,5476.69,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_27,2343.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_28,542.70,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,19/01/2016,46288476_29,1644.78,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_3,2108.17,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_30,14353.15,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_31,2467.37,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_32,17202.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_33,1897.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_34,5834.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_35,5491.26,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_36,1992.67,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_37,2048.76,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Sustainability,Temporary Bureau Staffing,A0108,19/01/2016,46288476_38,26.26,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,19/01/2016,46288476_4,4542.58,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/01/2016,46288476_5,575.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/01/2016,46288476_6,18285.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,19/01/2016,46288476_7,4795.59,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,19/01/2016,46288476_8,151.20,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,19/01/2016,46288476_9,1873.30,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_1,2450.95,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,23/02/2016,46288843_10,5646.43,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,23/02/2016,46288843_11,2318.36,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,23/02/2016,46288843_12,5766.54,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_13,2462.93,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_14,2321.25,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,23/02/2016,46288843_15,1996.25,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,23/02/2016,46288843_16,4492.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,23/02/2016,46288843_17,4896.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,23/02/2016,46288843_18,6241.26,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,23/02/2016,46288843_19,5304.28,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_2,1207.00,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_20,2750.70,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_21,128.54,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,23/02/2016,46288843_22,1737.99,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_23,362.85,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,23/02/2016,46288843_24,2130.23,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,23/02/2016,46288843_25,3960.00,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,23/02/2016,46288843_26,268.31,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_27,3921.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_28,3059.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_29,3227.85,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_3,1921.91,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,23/02/2016,46288843_30,1339.42,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_31,10030.32,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_32,1713.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_33,2732.73,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_34,18852.96,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_35,2422.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_36,2517.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_37,4333.44,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_38,2812.44,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_39,2516.03,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_4,3999.66,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,23/02/2016,46288843_5,4953.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,23/02/2016,46288843_6,862.50,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,23/02/2016,46288843_7,17602.48,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,23/02/2016,46288843_8,7240.92,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,23/02/2016,46288843_9,14147.32,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,22/03/2016,46289148_1,3720.02,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,22/03/2016,46289148_10,8036.51,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,22/03/2016,46289148_11,10240.46,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,22/03/2016,46289148_12,2066.12,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,22/03/2016,46289148_13,4058.38,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,22/03/2016,46289148_14,1926.53,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,22/03/2016,46289148_15,1152.57,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,22/03/2016,46289148_16,2370.45,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,22/03/2016,46289148_17,1774.40,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,22/03/2016,46289148_18,7278.02,Revenue,20000200,CHAMPION EMPLOYMENT LTD
