Body_Name,Organisational Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Capital or Revenue,Supplier ID,Supplier Name
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287394_1,516.67,Revenue,20000010_46287394,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287395_1,3642.6,Revenue,20000010_46287395,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,13/10/2015,46287402_1,626.42,Revenue,20000010_46287402,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287404_1,1668.16,Revenue,20000010_46287404,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287404_2,132,Revenue,20000010_46287404,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287404_3,834.08,Revenue,20000010_46287404,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287404_4,900,Revenue,20000010_46287404,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287405_1,1668.16,Revenue,20000010_46287405,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287405_2,132,Revenue,20000010_46287405,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287405_3,834.08,Revenue,20000010_46287405,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287406_1,910,Revenue,20000010_46287406,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287408_1,2400,Revenue,20000010_46287408,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287408_2,1091.04,Revenue,20000010_46287408,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287408_3,1091.04,Revenue,20000010_46287408,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287408_4,737.16,Revenue,20000010_46287408,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287409_1,1232.76,Revenue,20000010_46287409,ANDREWS LETTING & MANAGEMENT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,20/10/2015,46287467_1,850.92,Revenue,20000010_46287467,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,20/10/2015,46287469_1,1500,Revenue,20000010_46287469,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,20/10/2015,46287470_1,1001,Revenue,20000010_46287470,"Redacted, personal data"
Oxford City Council,HRA,Disturbance Payments,D3605,27/10/2015,46287545_1,4900,Revenue,20000010_46287545,"Redacted, personal data"
Oxford City Council,HRA,Disturbance Payments,D3605,27/10/2015,46287546_1,4900,Revenue,20000010_46287546,"Redacted, personal data"
Oxford City Council,HRA,Disturbance Payments,D3605,27/10/2015,46287547_1,4900,Revenue,20000010_46287547,"Redacted, personal data"
Oxford City Council,HRA,Disturbance Payments,D3605,27/10/2015,46287548_1,4900,Revenue,20000010_46287548,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/10/2015,46287578_1,925,Revenue,20000010_46287578,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287587_1,850,Revenue,20000010_46287587,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287588_1,850,Revenue,20000010_46287588,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287590_1,1091.04,Revenue,20000010_46287590,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287593_1,900,Revenue,20000010_46287593,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287597_1,900,Revenue,20000010_46287597,Admiral Homes
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287598_1,692.3,Revenue,20000010_46287598,Grande Property Services
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287599_1,1091.4,Revenue,20000010_46287599,"Redacted, personal data"
Oxford City Council,HRA,Disturbance Payments,D3605,03/11/2015,46287634_1,4083.33,Revenue,20000010_46287634,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,03/11/2015,46287661_1,1780.37,Revenue,20000010_46287661,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,03/11/2015,46287662_1,663.83,Revenue,20000010_46287662,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,10/11/2015,46287663_1,555,Revenue,20000010_46287663,Homexperts Ltd
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287684_1,600,Revenue,20000010_46287684,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287686_1,1101.9,Revenue,20000010_46287686,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,03/11/2015,46287687_1,1302,Revenue,20000010_46287687,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/11/2015,46287689_1,1250,Revenue,20000010_46287689,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/11/2015,46287690_1,1250,Revenue,20000010_46287690,Ashcox & Stone
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/11/2015,46287691_1,900,Revenue,20000010_46287691,Ashcox & Stone
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/11/2015,46287692_1,724.6,Revenue,20000010_46287692,Ashcox & Stone
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,10/11/2015,46287693_1,1044.52,Revenue,20000010_46287693,Ashcox & Stone
Oxford City Council,HRA,Special Events,D3807,10/11/2015,46287700_1,878.61,Revenue,20000010_46287700,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/11/2015,46287822_1,1091.04,Revenue,20000010_46287822,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,17/11/2015,46287823_1,1500,Revenue,20000010_46287823,GRANDE PROPERTY SERVICES
Oxford City Council,HRA,Special Events,D3807,17/11/2015,46287848_1,660,Revenue,20000010_46287848,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/11/2015,46288028_1,616.38,Revenue,20000010_46288028,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,24/11/2015,46288031_1,1800,Revenue,20000010_46288031,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,01/12/2015,46288098_1,559.16,Revenue,20000010_46288098,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,01/12/2015,46288099_1,660,Revenue,20000010_46288099,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,01/12/2015,46288101_1,1000,Revenue,20000010_46288101,"Redacted, personal data"
Oxford City Council,HRA,Disturbance Payments,D3605,08/12/2015,46288125_1,4900,Revenue,20000010_46288125,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,08/12/2015,46288133_1,1000,Revenue,20000010_46288133,"Redacted, personal data"
Oxford City Council,HRA,Disturbance Payments,D3605,15/12/2015,46288166_1,908.92,Revenue,20000010_46288166,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/12/2015,46288187_1,900,Revenue,20000010_46288187,OLIVER JAMES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,15/12/2015,46288246_1,1237.39,Revenue,20000010_46288246,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,22/12/2015,46288283_1,528,Revenue,20000010_46288283,"Redacted, personal data"
Oxford City Council,HRA,Disturbance Payments,D3605,22/12/2015,46288324_1,4900,Revenue,20000010_46288324,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,13/10/2015,46287372_1,555,Revenue,20000018_46287372,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,13/10/2015,46287373_1,555,Revenue,20000018_46287373,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,13/10/2015,46287375_1,900,Revenue,20000018_46287375,FEENAN & STEWART
Oxford City Council,Housing and Property,Homeless Prevention,D3426,24/11/2015,46288046_1,555,Revenue,20000018_46288046,Home Experts Worcester
Oxford City Council,Housing and Property,Homeless Prevention,D3426,01/12/2015,46288104_1,550,Revenue,20000018_46288104,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,08/12/2015,46288113_1,834,Revenue,20000018_46288113,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,15/12/2015,46288217_1,545,Revenue,20000018_46288217,PROPERTY GENIE SERVICES LTD
Oxford City Council,Community Services,Instructors & Coaching Fees,D3413,06/10/2015,46287316_1,900,Revenue,20000019_46287316,RUGBY LEAGUE INSPIRES
Oxford City Council,Community Services,Grants,D3701,10/11/2015,46287740_1,2009.75,Revenue,20000019_46287740,Real Systems
Oxford City Council,Community Services,Grants,D3701,10/11/2015,46287755_1,1000,Revenue,20000019_46287755,UnderConstruction Theatre
Oxford City Council,Community Services,Grants,D3701,01/12/2015,46288105_1,1000,Revenue,20000019_46288105,Yasmin Sidhwa/Mandala Theatre Company
Oxford City Council,Community Services,Grants,D3701,01/12/2015,46288106_1,1000,Revenue,20000019_46288106,Cafe Reason Butoh Dance Theatre
Oxford City Council,Community Services,Instructors & Coaching Fees,D3413,15/12/2015,46288236_1,900,Revenue,20000019_46288236,WINDRUSH BADMONTON CLUB
Oxford City Council,Community Services,Grants,D3701,15/12/2015,46288241_1,1000,Revenue,20000019_46288241,MCS ARTS FESTIVAL OXFORD
Oxford City Council,Community Services,Grants,D3701,15/12/2015,46288242_1,1000,Revenue,20000019_46288242,OXFORD PRESERVATION TRUST
Oxford City Council,Community Services,Contributions,D3702,15/12/2015,46288260_1,500,Revenue,20000019_46288260,OXFORD WELLBEING PROJECT
Oxford City Council,Community Services,Contributions,D3702,15/12/2015,46288261_1,500,Revenue,20000019_46288261,OXFORD WELLBEING PROJECT
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_1,2283.91,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,20/10/2015,46287442_10,1305.14,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_11,1762.76,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,20/10/2015,46287442_12,1786.3,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_13,1323.18,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_14,5582,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,20/10/2015,46287442_15,1697.36,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_16,1510.41,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,20/10/2015,46287442_17,5729.89,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_18,1833.66,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/10/2015,46287442_19,454.44,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_2,3261.46,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_20,1882.67,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,20/10/2015,46287442_21,1996.6,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,20/10/2015,46287442_22,6204.79,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,20/10/2015,46287442_23,1312,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,20/10/2015,46287442_24,3456,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,20/10/2015,46287442_25,5056.01,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,20/10/2015,46287442_26,8779.86,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_27,1818.63,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_28,3680,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,20/10/2015,46287442_29,4140,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/10/2015,46287442_3,3838.8,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,20/10/2015,46287442_30,3240.89,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_31,3603.6,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_32,3612.05,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_33,2293.23,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,20/10/2015,46287442_34,1436.58,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_35,709.38,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_36,10806.88,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_37,1540.14,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_38,1146.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_39,3049.58,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,20/10/2015,46287442_4,3737.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_40,19229.31,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_41,3993.02,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_42,2722.9,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_43,6145.98,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_44,7320.79,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_45,1316.62,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_46,3222.41,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_47,1785.03,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,20/10/2015,46287442_5,2176.56,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,20/10/2015,46287442_6,7590,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,20/10/2015,46287442_7,2095.87,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,20/10/2015,46287442_8,3104.65,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,20/10/2015,46287442_9,3746.6,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_1,2483.48,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,01/12/2015,46288069_10,3013.71,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_11,9366.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_12,914.27,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_13,1846.04,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,01/12/2015,46288069_14,261.52,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_15,2028.7,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Environmental Sustainability,Temporary Bureau Staffing,A0108,01/12/2015,46288069_16,1540,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,01/12/2015,46288069_17,2163.14,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_18,1314.09,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,01/12/2015,46288069_19,8253.43,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_2,342.72,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_20,2708.4,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_21,2455.82,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,01/12/2015,46288069_22,3318.85,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,01/12/2015,46288069_23,7519.2,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,01/12/2015,46288069_24,9962.64,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,01/12/2015,46288069_25,8115.47,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_26,289.33,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_27,8800,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,01/12/2015,46288069_28,3956.43,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,01/12/2015,46288069_29,2281.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_3,3278.32,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,Y021,01/12/2015,46288069_30,7200,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,01/12/2015,46288069_31,3341.52,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_32,5778.86,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_33,5162.79,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_34,1838.16,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,01/12/2015,46288069_35,2515.75,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_36,1989.09,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_37,7298.67,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_38,1713.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_39,3977.74,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_4,5779.97,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_40,22294.13,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_41,2735.43,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_42,1800.72,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_43,6423.98,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_44,6982.49,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_45,3982.81,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,01/12/2015,46288069_46,1146.68,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,01/12/2015,46288069_5,6562.52,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,01/12/2015,46288069_6,2587.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,01/12/2015,46288069_7,11247.84,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,01/12/2015,46288069_8,5076.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,01/12/2015,46288069_9,2777.53,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,15/12/2015,46288233_1,2314.59,Revenue,20000200,CHAMPION EMPLOYMENT LTD
