Body Name,Organisatonal Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name
Oxford City Council,Financial Services,General Contracted Services,D3401,09/06/2015,46286159_1,1332.4,Revenue,20000000_46286159,LEXIS NEXIS
Oxford City Council,Community Services,Pitch & Site Rents,K9534,16/06/2015,46286276_1,1500,Revenue,20000000_46286276,OXFORD ROUND TABLE CAHRITABLE TRUST
Oxford City Council,Direct Services,Hire Of Premises/Temp Accom,B1820,16/06/2015,46286279_1,939.68,Revenue,20000000_46286279,ODFAA
Oxford City Council,Financial Services,Grants,D3701,16/06/2015,46286281_1,5000,Revenue,20000000_46286281,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,23/06/2015,46286318_1,5000,Revenue,20000000_46286318,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,23/06/2015,46286320_1,5000,Revenue,20000000_46286320,Redacted personal data
Oxford City Council,Direct Services,Other Miscellaneous Expenses,D3811,23/06/2015,46286341_1,1000,Revenue,20000000_46286341,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,23/06/2015,46286342_1,5000,Revenue,20000000_46286342,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,23/06/2015,46286343_1,975.69,Revenue,20000000_46286343,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,23/06/2015,46286344_1,4155.6,Revenue,20000000_46286344,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,23/06/2015,46286348_1,4972.8,Revenue,20000000_46286348,Redacted personal data
Oxford City Council,Planning & Regulatory,Compensation,D3805,30/06/2015,46286405_1,109121.9,Revenue,20000000_46286405,BEVAN BRITTAN LLP
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,07/04/2015,46285336_1,595,Revenue,20000010_46285336,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,07/04/2015,46285343_1,623,Revenue,20000010_46285343,LEE & LINDARS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,07/04/2015,46285344_1,925,Revenue,20000010_46285344,LETSCO
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,07/04/2015,46285345_1,684,Revenue,20000010_46285345,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/04/2015,46285502_1,1730,Revenue,20000010_46285502,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,21/04/2015,46285516_1,686.98,Revenue,20000010_46285516,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,21/04/2015,46285517_1,1082.77,Revenue,20000010_46285517,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285604_1,616,Revenue,20000010_46285604,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285605_1,1122,Revenue,20000010_46285605,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285606_1,1063.56,Revenue,20000010_46285606,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285607_1,1850,Revenue,20000010_46285607,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285608_1,925,Revenue,20000010_46285608,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285609_1,900,Revenue,20000010_46285609,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285611_1,763.56,Revenue,20000010_46285611,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285612_1,1800,Revenue,20000010_46285612,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285613_1,943.56,Revenue,20000010_46285613,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285614_1,1021.15,Revenue,20000010_46285614,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/04/2015,46285615_1,550,Revenue,20000010_46285615,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285669_1,1200,Revenue,20000010_46285669,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285672_1,1500,Revenue,20000010_46285672,GRANDE PROPERTY SERVICES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285674_1,2300,Revenue,20000010_46285674,GRANDE PROPERT SERVICES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285676_1,1242.6,Revenue,20000010_46285676,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285681_1,1850,Revenue,20000010_46285681,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285682_1,925,Revenue,20000010_46285682,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285683_1,1091.04,Revenue,20000010_46285683,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285685_1,900,Revenue,20000010_46285685,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285711_1,1232.76,Revenue,20000010_46285711,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/05/2015,46285713_1,1150,Revenue,20000010_46285713,Grande Property Services
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/05/2015,46285741_1,1091.04,Revenue,20000010_46285741,MORGAN CARVER & ALDWORTH
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/05/2015,46285742_1,1091.04,Revenue,20000010_46285742,MORGAN CARVER & ALDWORTH
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/05/2015,46285743_1,1091.04,Revenue,20000010_46285743,ADMIRAL HOMES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/05/2015,46285744_1,1091.04,Revenue,20000010_46285744,ADMIRAL HOMES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/05/2015,46285745_1,1091.04,Revenue,20000010_46285745,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/05/2015,46285767_1,900,Revenue,20000010_46285767,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285775_1,1500,Revenue,20000010_46285775,BLUESTONE LETTINGS & MANAGEMENT LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285775_2,1000,Revenue,20000010_46285775,BLUESTONE LETTINGS & MANAGEMENT LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285775_3,180,Revenue,20000010_46285775,BLUESTONE LETTINGS & MANAGEMENT LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285776_1,1125,Revenue,20000010_46285776,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285776_2,750,Revenue,20000010_46285776,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285776_3,210,Revenue,20000010_46285776,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285776_4,105,Revenue,20000010_46285776,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285818_1,1099.24,Revenue,20000010_46285818,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285819_1,791.04,Revenue,20000010_46285819,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285821_1,564,Revenue,20000010_46285821,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,19/05/2015,46285822_1,534,Revenue,20000010_46285822,LETSCO
Oxford City Council,HRA,Special Events,D3807,27/05/2015,46285906_1,1194.76,Revenue,20000010_46285906,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,27/05/2015,46285907_1,1119.82,Revenue,20000010_46285907,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/05/2015,46285909_1,791.04,Revenue,20000010_46285909,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/05/2015,46285910_1,1575,Revenue,20000010_46285910,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/05/2015,46285911_1,731.04,Revenue,20000010_46285911,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/05/2015,46285939_1,791.04,Revenue,20000010_46285939,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/05/2015,46285945_1,2390,Revenue,20000010_46285945,LEE & LINDARS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,27/05/2015,46285951_1,880.37,Revenue,20000010_46285951,ADMIRAL HOMES
Oxford City Council,HRA,Special Events,D3807,27/05/2015,46285952_1,765.83,Revenue,20000010_46285952,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286028_1,931.46,Revenue,20000010_46286028,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,02/06/2015,46286029_1,952.35,Revenue,20000010_46286029,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286032_1,595,Revenue,20000010_46286032,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286037_1,1175.3,Revenue,20000010_46286037,ANDREWS LETTING & MANAGEMENT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286045_1,1296,Revenue,20000010_46286045,STERLING RESIDENTIAL LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286046_1,1944,Revenue,20000010_46286046,STERLING RESIDENTIAL LETTINGS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286049_1,550,Revenue,20000010_46286049,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286052_1,1500,Revenue,20000010_46286052,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286053_1,1500,Revenue,20000010_46286053,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286054_1,2442.6,Revenue,20000010_46286054,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286055_1,1650,Revenue,20000010_46286055,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286056_1,834.08,Revenue,20000010_46286056,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286057_1,900,Revenue,20000010_46286057,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,02/06/2015,46286059_1,820,Revenue,20000010_46286059,LANDLORD ASSIST
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/06/2015,46286161_1,550,Revenue,20000010_46286161,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/06/2015,46286171_1,3642.6,Revenue,20000010_46286171,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/06/2015,46286172_1,1100,Revenue,20000010_46286172,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/06/2015,46286173_1,791.04,Revenue,20000010_46286173,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/06/2015,46286270_1,1000,Revenue,20000010_46286270,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/06/2015,46286271_1,1000,Revenue,20000010_46286271,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/06/2015,46286280_1,620,Revenue,20000010_46286280,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/06/2015,46286289_1,600,Revenue,20000010_46286289,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/06/2015,46286290_1,1425,Revenue,20000010_46286290,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/06/2015,46286291_1,806.88,Revenue,20000010_46286291,Cherwell Property Services Ltd. 
Oxford City Council,HRA,Special Events,D3807,23/06/2015,46286316_1,586.36,Revenue,20000010_46286316,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,23/06/2015,46286317_1,1500,Revenue,20000010_46286317,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,23/06/2015,46286322_1,627.95,Revenue,20000010_46286322,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286379_1,2432.76,Revenue,20000010_46286379,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286380_1,1000,Revenue,20000010_46286380,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286385_1,1091.04,Revenue,20000010_46286385,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286386_1,632.76,Revenue,20000010_46286386,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286390_1,712.5,Revenue,20000010_46286390,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286391_1,1260.56,Revenue,20000010_46286391,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286402_1,600,Revenue,20000010_46286402,Redacted personal data
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286437_1,120,Revenue,20000010_46286437,Lee & Lindars
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286437_2,1450,Revenue,20000010_46286437,Lee & Lindars
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,30/06/2015,46286437_3,840,Revenue,20000010_46286437,Lee & Lindars
Oxford City Council,Housing and Property,Homeless Prevention,D3426,28/04/2015,46285585_1,570,Revenue,20000018_46285585,HOME EXPERTS WORCESTER
Oxford City Council,Housing and Property,Homeless Prevention,D3426,27/05/2015,46285929_1,565,Revenue,20000018_46285929,HOME EXPERTS WORCESTER
Oxford City Council,Housing and Property,Homeless Prevention,D3426,27/05/2015,46285930_1,555,Revenue,20000018_46285930,HOME EXPERTS WORCESTER
Oxford City Council,Housing and Property,Homeless Prevention,D3426,27/05/2015,46285930_2,128.22,Revenue,20000018_46285930,HOME EXPERTS WORCESTER
Oxford City Council,Housing and Property,Homeless Prevention,D3426,27/05/2015,46285931_1,570,Revenue,20000018_46285931,HOME EXPERTS WORCESTER
Oxford City Council,Community Services,Grants,D3701,09/06/2015,46286125_1,700,Revenue,20000019_46286125,OXFORD HINDU TEMPLE & COMMUNITY CENTRE PROJECT
Oxford City Council,Community Services,Grants,D3701,30/06/2015,46286382_1,3500,Revenue,20000019_46286382,INSPIRED YOUNG PEOPLES PROJECT
Oxford City Council,Financial Services,Commission/Discount,K9472,21/04/2015,46285475_1,-0.97,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,21/04/2015,46285475_10,2091.95,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Transformation,Temporary Bureau Staffing,A0108,21/04/2015,46285475_11,2858.09,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,21/04/2015,46285475_12,4254.55,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_13,2248.38,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_14,7894,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,21/04/2015,46285475_15,1821.72,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Financial Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_16,17602.86,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Business Improvement,Temporary Bureau Staffing,A0108,21/04/2015,46285475_17,1373.75,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_18,2033.43,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_19,6291.4,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_2,540.67,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_20,6458.75,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_21,425.55,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_22,3911.68,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_23,3417.61,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_24,10493.55,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_25,2223.95,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_26,7421.9,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,21/04/2015,46285475_27,1437.51,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,21/04/2015,46285475_28,6302.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Housing and Property,Temporary Bureau Staffing,A0108,21/04/2015,46285475_29,1980.72,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_3,4085.2,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_30,2223.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Main Contractor,Y021,21/04/2015,46285475_31,6883.81,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_32,6209.02,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_33,2879.22,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_34,3027.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_35,3712,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Planning & Regulatory,Temporary Bureau Staffing,A0108,21/04/2015,46285475_36,2204.76,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_37,1952.1,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Law and Governance,Temporary Bureau Staffing,A0108,21/04/2015,46285475_38,1339.2,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,21/04/2015,46285475_39,7316.55,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_4,1760.56,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,21/04/2015,46285475_40,3648.72,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Assistant Chief Executive,Temporary Bureau Staffing,A0108,21/04/2015,46285475_41,1374.66,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,y021,21/04/2015,46285475_42,4030,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Main Contractor,y021,21/04/2015,46285475_43,3907.45,Capital,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,HRA,Temporary Bureau Staffing,A0108,21/04/2015,46285475_44,2493.9,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_45,2048.58,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_46,2044.94,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_47,1722.42,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_48,4580.34,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_49,11969.24,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Community Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_5,4162.51,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_50,17.39,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_51,2966.68,Revenue,20000200,CHAMPION EMPLOYMENT LTD
Oxford City Council,Direct Services,Temporary Bureau Staffing,A0108,21/04/2015,46285475_52,20737.05,Revenue,20000200,CHAMPION EMPLOYMENT LTD
